customer_id,loan_id,loan_amount,loan_type,interest_rate,loan_term,approval_rejection_date,loan_status,has_date_parsing_error
113,113,27207.23,personal,0.0199,12,2020-08-31,closed,false
114,114,1673.72,auto,0.0249,24,2022-06-14,closed,false
115,115,15986.32,personal,0.0351,36,2020-04-07,rejected,false
116,116,4169.65,auto,0.009,48,2021-11-25,closed,false
117,117,46379.61,auto,0.029,60,2022-03-28,rejected,false
118,118,39937.78,personal,0.0524,60,2021-11-16,closed,false
119,119,49208.24,mortgage,0.0487,36,2020-06-19,rejected,false
120,120,44370.37,personal,0.0086,24,2021-09-28,closed,false
121,121,24291.27,auto,0.031,12,2021-08-03,approved,false
122,122,44247.28,mortgage,0.0083,48,2020-11-04,approved,false
123,123,33949.49,personal,0.039,36,2022-05-19,closed,false
124,124,26705.38,mortgage,0.0235,48,2021-12-24,closed,false
125,125,19161.66,auto,0.0147,24,2021-09-11,closed,false
126,126,34367.34,personal,0.0571,60,2021-01-24,approved,false
127,127,29916.54,mortgage,0.0395,12,2020-03-19,closed,false
128,128,31095.06,auto,0.0351,60,2020-03-22,approved,false
129,129,20591.74,personal,0.0192,12,2020-08-22,closed,false
130,130,37226.44,personal,0.0343,60,2022-07-07,closed,false
131,131,4985.8,mortgage,0.0597,36,2020-08-08,closed,false
132,132,36581.79,mortgage,0.0343,24,2020-04-08,approved,false
133,133,36807.3,mortgage,0.0027,60,2021-12-24,rejected,false
134,134,26281.23,personal,0.0378,24,2020-04-13,closed,false
135,135,13900.87,mortgage,0.0152,60,2021-06-12,approved,false
136,136,26444.55,mortgage,0.0474,48,2022-03-26,closed,false
137,137,7031.22,mortgage,0.0597,60,2021-08-03,approved,false
138,138,14972.04,personal,0.056,12,2021-12-11,approved,false
139,139,21643.69,personal,0.0503,48,2021-11-09,rejected,false
140,140,33988.46,auto,0.0202,36,2022-01-05,closed,false
141,141,10173.62,personal,0.0359,36,2021-01-12,closed,false
142,142,8750.37,personal,0.0121,36,2020-08-10,approved,false
143,143,30782.02,mortgage,0.0006,24,2020-02-28,closed,false
144,144,34297.73,mortgage,0.0369,36,2021-03-05,rejected,false
145,145,5099.13,personal,0.0447,60,2020-02-08,closed,false
146,146,2625.0,personal,0.0234,48,2020-12-04,approved,false
147,147,8210.34,mortgage,0.0491,12,2021-11-10,approved,false
148,148,45150.31,mortgage,0.0493,36,2021-04-14,approved,false
149,149,33959.29,mortgage,0.0275,12,2020-08-10,closed,false
150,150,46130.27,auto,0.0232,24,2020-11-22,approved,false
151,151,33571.03,mortgage,0.0497,24,2021-03-20,approved,false
152,152,48296.62,auto,0.0215,12,2021-03-21,closed,false
153,153,22506.43,personal,0.058,60,2022-01-30,closed,false
154,154,30355.85,mortgage,0.0387,12,2022-06-13,approved,false
155,155,30458.09,auto,0.0588,48,2021-03-03,approved,false
156,156,1153.86,mortgage,0.0301,36,2021-07-07,approved,false
157,157,2345.27,mortgage,0.0393,60,2022-08-28,approved,false
158,158,8118.0,personal,0.0067,12,2022-04-23,rejected,false
159,159,26045.35,auto,0.0292,48,2021-02-23,rejected,false
160,160,22095.8,auto,0.047,12,2022-06-24,approved,false
161,161,27447.7,mortgage,0.0065,36,2020-12-22,closed,false
162,162,40224.05,personal,0.0061,24,2022-01-18,closed,false
163,163,41289.77,personal,0.0445,12,2020-12-28,rejected,false
164,164,48873.73,personal,0.0477,48,2020-06-17,rejected,false
165,165,28319.84,mortgage,0.0206,12,2021-04-23,rejected,false
166,166,18013.56,personal,0.0399,36,2020-10-05,closed,false
167,167,16093.36,personal,0.034,48,2021-09-23,rejected,false
168,168,17696.34,personal,0.0157,24,2021-07-13,closed,false
169,169,16867.65,auto,0.0237,36,2020-06-24,closed,false
170,170,20253.08,personal,0.0321,12,2022-08-12,rejected,false
171,171,4669.19,personal,0.0405,60,2021-02-26,approved,false
172,172,32038.19,mortgage,0.0534,12,2021-05-19,approved,false
173,173,28834.02,auto,0.0077,24,2022-01-02,closed,false
174,174,23636.08,personal,0.0209,12,2022-08-29,closed,false
175,175,4974.16,personal,0.0128,60,2021-07-23,rejected,false
176,176,5567.23,auto,0.0042,24,2020-05-23,approved,false
177,177,27710.15,auto,0.0388,24,2022-07-13,rejected,false
178,178,2792.44,personal,0.0106,12,2021-05-12,approved,false
179,179,36514.66,auto,0.0145,36,2021-08-26,closed,false
180,180,49695.13,personal,0.0352,24,2020-10-27,rejected,false
181,181,30272.94,auto,0.0523,48,2022-05-15,closed,false
182,182,36448.14,personal,0.05,24,2022-04-27,rejected,false
183,183,22507.86,auto,0.0473,48,2022-01-27,rejected,false
184,184,33703.2,personal,0.007,36,2022-07-05,closed,false
185,185,32937.24,auto,0.0532,60,2020-04-10,closed,false
186,186,41380.45,auto,0.0502,48,2022-05-05,rejected,false
187,187,35855.64,personal,0.012,48,2020-05-03,approved,false
188,188,37703.43,mortgage,0.0337,60,2022-06-16,rejected,false
189,189,28275.16,auto,0.0523,24,2022-02-23,closed,false
190,190,24741.23,personal,0.0153,48,2022-01-01,closed,false
191,191,23477.11,mortgage,0.0172,48,2022-09-10,rejected,false
192,192,20208.54,mortgage,0.0421,60,2022-09-16,closed,false
193,193,14035.36,personal,0.0015,24,2022-03-25,rejected,false
194,194,2632.24,auto,0.0245,12,2020-08-09,rejected,false
195,195,33883.69,personal,0.0128,48,2022-06-28,closed,false
196,196,45147.1,auto,0.0596,36,2020-05-06,rejected,false
197,197,46593.64,mortgage,0.0114,60,2022-08-02,closed,false
198,198,29447.52,auto,0.0481,48,2022-10-31,rejected,false
199,199,5612.69,personal,0.007,24,2021-06-27,approved,false
200,200,44054.55,personal,0.0164,36,2022-01-20,rejected,false
201,201,37639.5,mortgage,0.0235,12,2021-07-08,closed,false
202,202,13319.14,personal,0.0478,36,2022-09-30,approved,false
203,203,40373.7,auto,0.008,48,2022-06-12,closed,false
204,204,24128.39,personal,0.0587,36,2022-02-15,approved,false
205,205,44492.06,personal,0.0091,12,2021-04-19,rejected,false
206,206,13132.94,personal,0.0454,24,2020-04-07,approved,false
207,207,40244.39,auto,0.0194,12,2022-07-01,closed,false
208,208,35883.61,auto,0.0331,12,2021-05-03,rejected,false
209,209,1707.62,mortgage,0.0038,60,2020-04-14,approved,false
210,210,28603.4,auto,0.021,60,2022-04-01,approved,false
211,211,36061.18,personal,0.056,12,2020-08-24,rejected,false
212,212,8664.13,personal,0.0219,36,2021-09-01,closed,false
213,213,27063.05,auto,0.0596,36,2021-04-17,rejected,false
214,214,15899.82,auto,0.0532,12,2020-05-29,rejected,false
215,215,35116.39,mortgage,0.0456,36,2022-05-04,closed,false
216,216,27466.85,auto,0.0405,24,2021-03-06,approved,false
217,217,31451.44,mortgage,0.0312,36,2022-06-25,approved,false
218,218,4554.45,mortgage,0.0335,36,2020-08-08,rejected,false
219,219,7751.96,auto,0.0031,12,2022-09-09,closed,false
220,220,28052.37,mortgage,0.01,36,2022-09-11,approved,false
221,221,9877.47,mortgage,0.0543,36,2021-06-01,approved,false
222,222,25435.87,personal,0.0302,60,2020-06-24,rejected,false
223,223,34811.44,personal,0.0496,60,2020-02-15,rejected,false
224,224,40678.81,personal,0.0325,36,2020-03-05,approved,false
225,225,8007.33,auto,0.0462,36,2020-08-10,closed,false
226,226,37352.06,personal,0.0584,12,2020-01-16,closed,false
227,227,18796.12,mortgage,0.0088,24,2021-08-22,rejected,false
228,228,34267.72,personal,0.0542,60,2020-07-09,closed,false
229,229,8118.95,personal,0.0212,48,2022-12-16,closed,false
230,230,26243.58,auto,0.0331,36,2020-08-30,rejected,false
231,231,42040.55,auto,0.031,48,2022-01-12,approved,false
232,232,6215.14,auto,0.0486,12,2021-07-19,approved,false
233,233,41556.36,auto,0.0437,48,2022-05-05,rejected,false
234,234,23185.65,personal,0.0176,24,2021-07-04,closed,false
235,235,41340.31,mortgage,0.0455,24,2020-02-21,rejected,false
236,236,47961.0,mortgage,0.0368,12,2020-08-27,approved,false
237,237,8822.98,personal,0.0332,60,2022-09-11,rejected,false
238,238,34053.91,mortgage,0.0341,36,2020-01-05,rejected,false
239,239,12519.73,mortgage,0.0069,48,2021-01-23,approved,false
240,240,7642.16,personal,0.021,12,2020-10-22,rejected,false
241,241,31776.05,auto,0.0037,24,2020-03-15,rejected,false
242,242,6291.2,personal,0.0174,24,2021-04-26,approved,false
243,243,23793.46,auto,0.0381,12,2022-04-04,closed,false
244,244,32161.76,mortgage,0.0089,12,2022-08-25,rejected,false
245,245,25481.91,auto,0.0464,12,2020-09-02,closed,false
246,246,35156.39,auto,0.0435,48,2022-08-16,closed,false
247,247,40269.19,mortgage,0.0512,24,2022-11-29,closed,false
248,248,43740.07,auto,0.0101,12,2020-05-28,closed,false
249,249,28433.74,mortgage,0.0263,36,2022-08-10,rejected,false
250,250,14554.89,mortgage,0.0001,12,2021-06-12,approved,false
251,251,25973.43,personal,0.0494,12,2020-05-09,rejected,false
252,252,19996.74,personal,0.0163,48,2020-05-21,closed,false
253,253,12070.35,personal,0.002,60,2022-08-29,closed,false
254,254,26924.3,mortgage,0.0263,24,2021-04-09,rejected,false
255,255,2110.09,auto,0.031,12,2022-09-03,closed,false
256,256,30672.68,auto,0.0366,48,2020-01-29,closed,false
257,257,41258.59,personal,0.0179,60,2021-03-04,rejected,false
258,258,49972.35,personal,0.0193,60,2022-09-08,rejected,false
259,259,46162.27,personal,0.0222,60,2020-04-21,approved,false
260,260,5400.98,mortgage,0.0207,12,2021-06-13,closed,false
261,261,8959.04,mortgage,0.0522,12,2022-10-14,closed,false
262,262,7793.59,personal,0.0483,48,2021-01-16,rejected,false
263,263,28359.23,mortgage,0.0499,24,2021-07-26,rejected,false
264,264,3250.86,personal,0.0343,48,2022-08-23,closed,false
265,265,46912.64,auto,0.0435,60,2022-04-23,rejected,false
266,266,4030.0,mortgage,0.0487,36,2021-08-08,rejected,false
267,267,20171.28,mortgage,0.0386,24,2020-06-03,rejected,false
268,268,44804.52,mortgage,0.0256,48,2020-10-27,closed,false
269,269,47470.54,mortgage,0.0004,24,2022-07-25,closed,false
270,270,23799.25,auto,0.0235,36,2020-06-06,approved,false
271,271,24933.15,auto,0.047,60,2022-09-13,approved,false
272,272,32172.68,mortgage,0.0453,48,2021-05-04,approved,false
273,273,20974.3,auto,0.0574,24,2021-02-19,approved,false
274,274,16908.4,personal,0.0486,24,2021-12-04,closed,false
275,275,37231.92,auto,0.0047,12,2022-06-28,rejected,false
276,276,30172.56,personal,0.0388,60,2021-11-08,closed,false
277,277,24601.88,mortgage,0.0182,48,2021-01-16,closed,false
278,278,5938.58,personal,0.0006,60,2022-07-12,closed,false
279,279,4374.22,personal,0.0034,12,2020-06-07,approved,false
280,280,26029.95,auto,0.0003,36,2020-10-29,rejected,false
281,281,31352.15,mortgage,0.032,60,2020-05-17,rejected,false
282,282,33218.07,auto,0.0471,12,2021-11-07,closed,false
283,283,44849.62,auto,0.024,36,2020-11-25,approved,false
284,284,40995.02,mortgage,0.0394,60,2020-03-12,closed,false
285,285,7897.35,mortgage,0.0131,36,2021-11-20,rejected,false
286,286,39927.12,auto,0.0248,48,2022-05-31,rejected,false
287,287,34138.85,auto,0.0287,24,2021-01-29,closed,false
288,288,41573.42,personal,0.0545,36,2022-10-31,rejected,false
289,289,42324.38,personal,0.0434,24,2020-06-06,approved,false
290,290,17931.1,auto,0.0492,48,2021-11-22,rejected,false
291,291,13900.17,auto,0.0305,36,2022-04-11,closed,false
292,292,28079.07,auto,0.0082,24,2021-06-23,rejected,false
293,293,15631.78,auto,0.0469,36,2020-09-07,closed,false
294,294,18134.58,auto,0.0167,12,2022-12-17,closed,false
295,295,4388.84,mortgage,0.0327,36,2021-11-15,approved,false
296,296,49576.82,auto,0.0556,36,2020-07-09,closed,false
297,297,16155.55,auto,0.0535,60,2022-08-09,closed,false
298,298,39223.59,personal,0.0116,60,2020-02-15,rejected,false
299,299,49664.76,mortgage,0.0013,48,2020-04-11,rejected,false
300,300,48487.17,personal,0.0405,48,2021-06-25,rejected,false
301,301,32060.27,auto,0.033,48,2021-01-22,approved,false
302,302,27394.41,auto,0.0465,24,2022-10-16,approved,false
303,303,16154.55,auto,0.0346,48,2022-07-17,rejected,false
304,304,43213.83,auto,0.0518,48,2021-06-04,approved,false
305,305,17561.76,auto,0.0037,60,2021-09-24,rejected,false
306,306,6229.47,mortgage,0.0368,36,2022-05-04,approved,false
307,307,15410.82,mortgage,0.048,48,2020-12-13,closed,false
308,308,16439.77,mortgage,0.0482,48,2020-07-21,rejected,false
309,309,36205.78,mortgage,0.0586,36,2020-05-26,rejected,false
310,310,9307.56,mortgage,0.0558,60,2021-08-27,approved,false
311,311,16526.3,personal,0.0221,60,2021-10-01,approved,false
312,312,4752.73,personal,0.0139,36,2021-09-17,closed,false
313,313,42571.66,mortgage,0.0345,60,2020-02-13,approved,false
314,314,36514.0,auto,0.0209,60,2020-08-17,rejected,false
315,315,22436.86,auto,0.0015,12,2021-07-08,closed,false
316,316,22070.75,auto,0.0131,24,2022-04-14,rejected,false
317,317,9152.22,mortgage,0.014,36,2020-05-15,approved,false
318,318,19839.18,mortgage,0.0465,24,2022-03-31,rejected,false
319,319,45434.43,auto,0.0127,36,2020-08-01,closed,false
320,320,7794.24,personal,0.053,12,2022-01-23,rejected,false
321,321,38486.39,personal,0.0227,36,2020-11-08,approved,false
322,322,3311.62,personal,0.0313,36,2021-01-14,rejected,false
323,323,16272.3,personal,0.0485,36,2022-08-18,rejected,false
324,324,42499.94,auto,0.057,12,2021-05-24,closed,false
325,325,22804.2,personal,0.0051,60,2021-11-07,approved,false
326,326,35432.01,mortgage,0.027,48,2022-02-13,closed,false
327,327,6073.55,mortgage,0.017,24,2022-04-25,closed,false
328,328,34487.86,mortgage,0.0453,24,2022-07-12,closed,false
329,329,41132.01,personal,0.0237,24,2021-03-22,approved,false
330,330,40457.05,mortgage,0.0352,48,2021-01-12,rejected,false
331,331,22504.62,mortgage,0.0475,60,2021-08-31,approved,false
332,332,45302.92,mortgage,0.0342,12,2021-12-16,rejected,false
333,333,29173.77,mortgage,0.0485,36,2020-07-25,closed,false
334,334,41075.72,auto,0.0198,36,2020-09-21,rejected,false
335,335,11459.51,personal,0.0228,60,2020-10-03,approved,false
336,336,11301.79,personal,0.0285,12,2020-07-13,approved,false
337,337,37963.75,personal,0.0416,36,2021-05-14,approved,false
338,338,32685.12,auto,0.0337,12,2020-08-23,rejected,false
339,339,34139.18,personal,0.0235,60,2022-06-28,rejected,false
340,340,12591.94,auto,0.0367,60,2022-01-22,approved,false
341,341,20581.51,mortgage,0.0494,60,2021-09-06,approved,false
342,342,13660.6,auto,0.0054,36,2022-09-09,rejected,false
343,343,4338.17,personal,0.0534,12,2022-05-17,closed,false
344,344,10993.12,auto,0.0291,24,2022-01-23,approved,false
345,345,49763.05,auto,0.0199,24,2020-03-30,rejected,false
346,346,12468.06,mortgage,0.0097,36,2020-05-17,approved,false
347,347,8805.37,auto,0.0526,48,2021-04-07,closed,false
348,348,35146.96,auto,0.0225,48,2021-06-13,closed,false
349,349,30505.08,auto,0.038,60,2022-12-29,closed,false
350,350,37554.64,auto,0.0123,12,2020-11-20,rejected,false
351,351,33029.98,personal,0.0316,24,2021-01-04,closed,false
352,352,11926.68,mortgage,0.045,60,2020-03-07,approved,false
353,353,25544.4,auto,0.0062,36,2020-02-16,closed,false
354,354,9655.5,mortgage,0.0259,48,2022-08-14,approved,false
355,355,13423.36,mortgage,0.0319,36,2021-01-26,approved,false
356,356,49358.96,personal,0.0063,12,2021-02-04,approved,false
357,357,36705.32,auto,0.0519,12,2022-05-24,approved,false
358,358,39359.67,auto,0.0441,12,2021-02-05,approved,false
359,359,2472.9,personal,0.022,48,2022-09-13,closed,false
360,360,19724.56,personal,0.0114,48,2020-08-12,rejected,false
361,361,28207.19,personal,0.0508,60,2020-04-26,closed,false
362,362,8334.03,mortgage,0.0293,36,2021-11-05,closed,false
363,363,42578.77,auto,0.0334,24,2020-10-29,rejected,false
364,364,7840.41,auto,0.0002,24,2021-09-20,closed,false
365,365,32188.77,auto,0.0398,24,2022-01-08,rejected,false
366,366,28106.17,personal,0.0438,48,2020-02-22,approved,false
367,367,42616.35,mortgage,0.0213,60,2020-07-27,closed,false
368,368,16278.73,mortgage,0.054,12,2022-06-05,approved,false
369,369,14920.1,personal,0.0224,12,2021-07-10,approved,false
370,370,42474.24,auto,0.0511,60,2021-07-25,rejected,false
371,371,11848.89,auto,0.0511,48,2022-09-15,closed,false
372,372,37556.03,mortgage,0.0244,24,2021-03-09,approved,false
373,373,10366.15,mortgage,0.0258,36,2022-03-13,approved,false
374,374,43909.08,auto,0.0304,48,2021-01-30,approved,false
375,375,42114.11,personal,0.0491,24,2022-07-29,rejected,false
376,376,39585.69,personal,0.0164,12,2020-06-09,rejected,false
377,377,25082.09,mortgage,0.0426,60,2020-02-09,approved,false
378,378,2658.12,personal,0.0459,60,2021-01-26,closed,false
379,379,7490.79,personal,0.0549,24,2021-01-26,rejected,false
380,380,23373.65,auto,0.0127,48,2022-02-20,approved,false
381,381,3138.73,auto,0.0111,24,2022-07-25,approved,false
382,382,4110.15,personal,0.01,48,2021-03-29,rejected,false
383,383,7149.69,mortgage,0.0455,12,2022-05-22,approved,false
384,384,13781.49,auto,0.0127,60,2021-09-02,closed,false
385,385,37716.82,auto,0.0083,48,2020-08-18,rejected,false
386,386,3351.14,auto,0.0308,12,2020-08-19,rejected,false
387,387,49198.33,mortgage,0.0251,36,2021-09-01,closed,false
388,388,14417.65,auto,0.0091,24,2021-10-04,approved,false
389,389,16689.69,auto,0.011,48,2020-10-17,rejected,false
390,390,13146.36,personal,0.019,24,2021-05-01,closed,false
391,391,30517.15,mortgage,0.026,24,2021-07-01,closed,false
392,392,1951.9,personal,0.0562,60,2022-09-01,approved,false
393,393,5584.91,personal,0.0267,24,2021-09-04,rejected,false
394,394,5840.09,personal,0.0385,36,2020-12-28,rejected,false
395,395,33562.09,personal,0.0389,60,2020-12-19,closed,false
396,396,17146.57,personal,0.0433,24,2021-02-05,closed,false
397,397,22437.22,personal,0.0317,36,2022-01-08,rejected,false
398,398,47548.69,auto,0.0572,48,2020-08-15,approved,false
399,399,10802.1,mortgage,0.0356,12,2020-01-09,approved,false
400,400,4439.64,personal,0.027,36,2022-03-23,approved,false
401,401,22629.74,mortgage,0.0505,48,2021-08-30,closed,false
402,402,9039.59,mortgage,0.0126,48,2021-08-01,closed,false
403,403,8088.2,auto,0.058,48,2020-03-12,approved,false
404,404,21096.47,mortgage,0.0431,12,2020-10-15,rejected,false
405,405,33812.91,mortgage,0.0444,24,2021-10-06,closed,false
406,406,12899.74,mortgage,0.0202,24,2020-08-23,closed,false
407,407,43922.23,mortgage,0.0578,24,2021-06-30,rejected,false
408,408,18759.95,auto,0.0387,36,2020-02-27,closed,false
409,409,46768.36,auto,0.0332,12,2022-02-03,closed,false
410,410,25127.37,personal,0.0388,60,2020-07-06,approved,false
411,411,36610.16,mortgage,0.0311,12,2022-01-02,approved,false
412,412,42601.83,mortgage,0.0055,60,2020-01-02,rejected,false
413,413,26956.27,auto,0.0452,48,2021-03-11,approved,false
414,414,42665.85,auto,0.0311,24,2021-07-09,closed,false
415,415,19521.11,auto,0.044,60,2021-09-26,approved,false
416,416,18806.8,mortgage,0.0268,24,2020-08-15,approved,false
417,417,39909.11,auto,0.013,12,2022-03-02,closed,false
418,418,12822.22,mortgage,0.0572,24,2020-02-16,closed,false
419,419,36134.89,auto,0.03,24,2020-08-01,closed,false
420,420,4777.26,mortgage,0.0419,36,2020-04-12,approved,false
421,421,32145.63,personal,0.0137,60,2020-08-14,approved,false
422,422,47153.58,auto,0.0024,36,2022-02-14,approved,false
423,423,23366.83,personal,0.0489,12,2022-11-15,rejected,false
424,424,21382.29,auto,0.0586,48,2021-03-18,approved,false
425,425,27486.5,auto,0.0125,48,2020-12-23,rejected,false
426,426,36258.74,mortgage,0.0205,24,2020-09-18,closed,false
427,427,18582.98,personal,0.0398,48,2020-07-04,closed,false
428,428,1006.37,mortgage,0.0103,36,2021-05-19,rejected,false
429,429,25602.15,mortgage,0.0055,24,2020-12-11,closed,false
430,430,21544.63,mortgage,0.0576,24,2020-08-30,closed,false
431,431,27102.45,mortgage,0.0315,60,2020-01-16,rejected,false
432,432,36050.3,auto,0.0054,24,2021-09-06,rejected,false
433,433,14886.16,mortgage,0.0119,48,2021-01-25,approved,false
434,434,25757.72,auto,0.0059,60,2020-10-13,approved,false
