transaction_id,transaction_date,account_id,transaction_type,transaction_amount,transaction_currency,has_date_parsing_error
1000110,2025-02-12,3193,withdrawal,3697.17,GBP,false
1000111,2025-02-07,3358,transfer,6011.05,AUD,false
1000112,2025-02-26,1199,transfer,7435.33,BGN,false
1000113,2025-01-30,4507,withdrawal,8176.35,HUF,false
1000114,2025-02-25,2880,withdrawal,72.72,CZK,false
1000115,2025-03-10,3734,transfer,1936.97,HUF,false
1000116,2025-01-03,1446,withdrawal,2876.15,DKK,false
1000117,2025-02-09,3839,transfer,4724.41,GBP,false
1000118,2025-03-03,4059,withdrawal,8122.79,CHF,false
1000119,2025-02-08,817,withdrawal,4532.76,AUD,false
1000120,2025-01-13,3205,withdrawal,1901.91,PLN,false
1000121,2025-02-06,2286,deposit,8738.47,CZK,false
1000122,2025-02-14,83,transfer,4168.11,CZK,false
1000123,2025-02-02,3815,transfer,9408.1,TRY,false
1000124,2025-02-23,766,transfer,6529.83,ISK,false
1000125,2025-01-27,535,transfer,5577.81,NOK,false
1000126,2025-02-08,3668,transfer,8980.51,SEK,false
1000127,2025-01-13,2488,transfer,2512.25,SEK,false
1000128,2025-01-29,2549,transfer,412.98,HUF,false
1000129,2025-02-28,3545,withdrawal,8930.37,PLN,false
1000130,2025-02-10,225,withdrawal,8610.54,DKK,false
1000131,2025-01-06,2131,deposit,8809.32,CZK,false
1000132,2025-02-27,3506,transfer,7095.75,GBP,false
1000133,2025-02-04,3341,deposit,3501.32,AUD,false
1000134,2025-01-05,1696,transfer,4015.03,AUD,false
1000135,2025-01-31,800,withdrawal,9734.44,CHF,false
1000136,2025-01-13,3828,withdrawal,3459.35,PLN,false
1000137,2025-02-05,2468,deposit,5973.61,PLN,false
1000138,2025-01-02,1611,withdrawal,6351.1,DKK,false
1000139,2025-01-13,1417,withdrawal,8092.8,AUD,false
1000140,2025-01-23,562,transfer,283.11,AUD,false
1000141,2025-03-03,341,transfer,1328.47,TRY,false
1000142,2025-02-02,995,deposit,1121.63,DKK,false
1000143,2025-01-23,2741,withdrawal,8146.48,DKK,false
1000144,2025-01-30,3084,transfer,6117.73,RON,false
1000145,2025-01-06,877,withdrawal,4505.91,GBP,false
1000146,2025-01-26,1916,withdrawal,8992.83,PLN,false
1000147,2025-02-27,1900,withdrawal,6555.86,DKK,false
1000148,2025-01-09,4455,withdrawal,800.76,SEK,false
1000149,2025-02-03,3948,transfer,3594.18,TRY,false
1000150,2025-01-02,1701,transfer,9542.23,HUF,false
1000151,2025-01-09,4534,deposit,2965.07,RON,false
1000152,2025-03-04,3809,deposit,6437.78,CHF,false
1000153,2025-01-25,827,transfer,7776.7,AUD,false
1000154,2025-02-03,2479,withdrawal,227.59,AUD,false
1000155,2025-01-24,4086,transfer,1879.23,DKK,false
1000156,2025-01-18,322,deposit,6627.18,BGN,false
1000157,2025-01-13,3179,deposit,1818.88,ISK,false
1000158,2025-01-11,4779,withdrawal,7957.52,BGN,false
1000159,2025-03-01,3509,deposit,7694.17,ISK,false
1000160,2025-03-08,4635,withdrawal,249.8,RON,false
1000161,2025-01-08,3251,deposit,1041.17,JPY,false
1000162,2025-02-12,80,withdrawal,7122.46,TRY,false
1000163,2025-03-06,3656,deposit,3771.57,AUD,false
1000164,2025-01-28,422,deposit,7130.18,DKK,false
1000165,2025-02-19,2969,transfer,8504.93,GBP,false
1000166,2025-01-01,176,deposit,3283.03,SEK,false
1000167,2025-02-09,4654,deposit,4874.28,BGN,false
1000168,2025-02-14,2146,transfer,31.59,CHF,false
1000169,2025-02-06,838,deposit,1743.18,BGN,false
1000170,2025-01-29,4862,withdrawal,1622.55,BGN,false
1000171,2025-01-08,3703,deposit,9249.69,SEK,false
1000172,2025-03-06,2843,transfer,778.67,SEK,false
1000173,2025-01-21,1664,deposit,4638.99,CZK,false
1000174,2025-02-15,4199,deposit,6322.63,CZK,false
1000175,2025-02-12,249,transfer,2925.27,TRY,false
1000176,2025-02-27,4105,transfer,6707.68,PLN,false
1000177,2025-01-13,1952,transfer,253.68,NOK,false
1000178,2025-01-03,63,deposit,9005.83,JPY,false
1000179,2025-02-18,4633,withdrawal,8308.05,TRY,false
1000180,2025-03-07,141,deposit,900.02,CZK,false
1000181,2025-02-28,2355,withdrawal,6684.28,ISK,false
1000182,2025-02-19,1742,deposit,396.3,RON,false
1000183,2025-01-11,604,withdrawal,4896.34,SEK,false
1000184,2025-02-23,3160,withdrawal,7900.03,HUF,false
1000185,2025-01-21,700,withdrawal,2473.13,ISK,false
1000186,2025-01-22,116,deposit,5078.92,GBP,false
1000187,2025-02-05,1851,deposit,3149.06,SEK,false
1000188,2025-02-11,1869,withdrawal,261.32,JPY,false
1000189,2025-02-25,1581,deposit,3161.28,RON,false
1000190,2025-03-05,4448,deposit,1992.52,CZK,false
1000191,2025-01-24,25,transfer,2733.06,CZK,false
1000192,2025-01-15,543,withdrawal,1668.33,TRY,false
1000193,2025-01-24,2719,transfer,8258.47,AUD,false
1000194,2025-01-19,507,transfer,2793.91,GBP,false
1000195,2025-01-28,1790,withdrawal,6365.15,JPY,false
1000196,2025-02-11,1060,transfer,7148.85,PLN,false
1000197,2025-02-28,1857,deposit,7339.2,CZK,false
1000198,2025-01-14,4900,withdrawal,3104.38,BGN,false
1000199,2025-02-01,260,deposit,4946.16,CZK,false
1000200,2025-03-09,3431,deposit,4266.34,BGN,false
1000201,2025-02-04,4210,transfer,8816.19,JPY,false
1000202,2025-02-24,679,deposit,5971.12,ISK,false
1000203,2025-01-11,2067,transfer,5310.75,CHF,false
1000204,2025-01-02,2932,transfer,6042.89,AUD,false
1000205,2025-02-20,3735,transfer,6030.42,RON,false
1000206,2025-02-25,3802,withdrawal,6004.03,HUF,false
1000207,2025-03-03,204,transfer,7962.98,JPY,false
1000208,2025-03-09,3927,transfer,6417.3,PLN,false
1000209,2025-01-05,2976,withdrawal,7537.6,ISK,false
1000210,2025-01-23,983,transfer,4361.44,CHF,false
1000211,2025-02-12,1801,withdrawal,1808.82,SEK,false
1000212,2025-02-19,4416,deposit,330.1,AUD,false
1000213,2025-01-18,3484,transfer,9651.51,JPY,false
1000214,2025-02-14,4887,deposit,4893.1,SEK,false
1000215,2025-02-02,1930,deposit,1220.73,NOK,false
1000216,2025-01-15,681,withdrawal,7604.39,CHF,false
1000217,2025-02-12,2668,transfer,2989.66,RON,false
1000218,2025-01-12,772,deposit,6371.25,ISK,false
1000219,2025-01-28,3856,transfer,3796.11,ISK,false
1000220,2025-02-23,830,withdrawal,6011.88,GBP,false
1000221,2025-02-06,3346,transfer,8229.31,CHF,false
1000222,2025-01-08,4022,transfer,2158.72,DKK,false
1000223,2025-02-23,1128,deposit,8919.67,NOK,false
1000224,2025-01-10,3630,transfer,9956.39,NOK,false
1000225,2025-01-29,3766,transfer,4190.05,NOK,false
1000226,2025-02-13,972,deposit,8167.05,BGN,false
1000227,2025-02-16,4748,withdrawal,9782.04,CHF,false
1000228,2025-01-08,328,withdrawal,4452.98,TRY,false
1000229,2025-02-03,3680,transfer,3337.87,RON,false
1000230,2025-02-01,3035,withdrawal,94.38,GBP,false
1000231,2025-02-04,1137,deposit,7084.7,JPY,false
1000232,2025-01-10,1058,transfer,3739.2,DKK,false
1000233,2025-02-23,4390,withdrawal,2579.08,SEK,false
1000234,2025-02-02,2548,deposit,7468.91,GBP,false
1000235,2025-01-27,4317,transfer,5888.79,SEK,false
1000236,2025-01-24,647,withdrawal,3961.67,DKK,false
1000237,2025-02-23,3578,withdrawal,6110.44,SEK,false
1000238,2025-01-05,2997,transfer,6951.66,NOK,false
1000239,2025-01-25,3086,deposit,2283.98,NOK,false
1000240,2025-02-09,3786,deposit,6554.06,GBP,false
1000241,2025-02-21,1976,transfer,3337.12,BGN,false
1000242,2025-01-08,3959,deposit,7065.97,HUF,false
1000243,2025-03-05,1493,deposit,1542.04,TRY,false
1000244,2025-01-20,3405,deposit,1808.91,GBP,false
1000245,2025-01-12,1510,withdrawal,842.5,CZK,false
1000246,2025-01-15,3622,deposit,1358.12,RON,false
1000247,2025-03-10,1502,transfer,3332.88,NOK,false
1000248,2025-02-23,4248,transfer,1070.62,RON,false
1000249,2025-02-14,871,transfer,535.47,NOK,false
1000250,2025-02-08,1724,withdrawal,4885.72,ISK,false
1000251,2025-02-18,95,withdrawal,9052.09,BGN,false
1000252,2025-01-30,2659,transfer,6306.6,JPY,false
1000253,2025-02-03,891,transfer,3496.85,TRY,false
1000254,2025-03-01,2865,deposit,4904.86,NOK,false
1000255,2025-02-28,839,deposit,4403.67,TRY,false
1000256,2025-02-03,3726,transfer,5455.02,NOK,false
1000257,2025-01-16,4128,withdrawal,6850.14,CZK,false
1000258,2025-03-08,732,transfer,3610.9,SEK,false
1000259,2025-01-20,3079,withdrawal,3267.74,BGN,false
1000260,2025-01-28,858,deposit,2140.62,SEK,false
1000261,2025-03-09,2176,transfer,6054.1,SEK,false
1000262,2025-01-04,4642,deposit,9950.74,ISK,false
1000263,2025-02-28,2296,deposit,8816.83,ISK,false
1000264,2025-03-03,1864,deposit,9295.02,GBP,false
1000265,2025-02-18,209,withdrawal,57.81,BGN,false
1000266,2025-01-05,511,withdrawal,1290.31,CZK,false
1000267,2025-01-01,1106,withdrawal,8217.51,PLN,false
1000268,2025-02-07,3645,transfer,1442.15,TRY,false
1000269,2025-01-15,2436,withdrawal,3657.56,GBP,false
1000270,2025-03-02,4653,deposit,4604.17,CHF,false
1000271,2025-02-13,201,deposit,9743.75,BGN,false
1000272,2025-01-25,44,withdrawal,3698.12,CHF,false
1000273,2025-02-08,2248,transfer,19.33,CZK,false
1000274,2025-01-15,176,transfer,6415.64,DKK,false
1000275,2025-02-28,1389,deposit,2297.5,HUF,false
1000276,2025-01-17,2004,deposit,5045.7,RON,false
1000277,2025-01-05,4404,deposit,8039.02,DKK,false
1000278,2025-03-09,1732,withdrawal,8164.56,AUD,false
1000279,2025-01-08,295,withdrawal,338.49,NOK,false
1000280,2025-01-09,1105,deposit,7489.09,HUF,false
1000281,2025-01-16,356,transfer,9309.0,PLN,false
1000282,2025-01-07,2250,withdrawal,5643.84,BGN,false
1000283,2025-02-25,898,withdrawal,4873.22,JPY,false
1000284,2025-01-25,22,deposit,7115.66,PLN,false
1000285,2025-01-22,3511,withdrawal,5510.38,CHF,false
1000286,2025-02-08,2292,deposit,9434.88,RON,false
1000287,2025-01-14,2769,withdrawal,6406.53,NOK,false
1000288,2025-01-12,2980,withdrawal,3692.76,NOK,false
1000289,2025-02-23,417,deposit,1027.53,PLN,false
1000290,2025-01-26,2549,deposit,9241.53,PLN,false
1000291,2025-02-04,839,transfer,2681.16,NOK,false
1000292,2025-03-05,2322,withdrawal,7950.65,TRY,false
1000293,2025-02-19,1970,deposit,7513.22,AUD,false
1000294,2025-01-21,4574,deposit,7077.99,JPY,false
1000295,2025-01-09,3835,withdrawal,9352.01,CHF,false
1000296,2025-01-25,4478,transfer,7002.48,CHF,false
1000297,2025-03-07,1164,withdrawal,7789.7,NOK,false
1000298,2025-01-17,455,transfer,1357.66,PLN,false
1000299,2025-01-06,1522,transfer,517.91,CZK,false
1000300,2025-02-08,4147,withdrawal,1877.53,JPY,false
1000301,2025-01-26,3109,withdrawal,9561.41,TRY,false
1000302,2025-01-23,2096,deposit,2388.93,RON,false
1000303,2025-02-07,3634,withdrawal,6249.42,AUD,false
1000304,2025-02-16,3235,deposit,5324.33,AUD,false
1000305,2025-02-02,2180,transfer,4639.87,JPY,false
1000306,2025-03-02,4263,transfer,7224.33,NOK,false
1000307,2025-02-04,4508,transfer,1178.95,CHF,false
1000308,2025-03-05,1268,withdrawal,7770.54,AUD,false
1000309,2025-01-25,29,deposit,724.66,BGN,false
1000310,2025-01-11,2124,withdrawal,7211.93,JPY,false
1000311,2025-03-01,1547,deposit,7673.45,CHF,false
1000312,2025-01-30,2516,deposit,5926.37,GBP,false
1000313,2025-02-10,3562,withdrawal,8511.52,HUF,false
1000314,2025-01-13,4922,transfer,526.77,SEK,false
1000315,2025-01-28,47,deposit,3285.41,JPY,false
1000316,2025-01-29,278,withdrawal,2746.78,JPY,false
1000317,2025-01-02,3271,deposit,7051.65,PLN,false
1000318,2025-01-10,3826,withdrawal,581.61,GBP,false
1000319,2025-02-15,1835,deposit,1373.41,AUD,false
1000320,2025-02-07,2635,deposit,4259.93,BGN,false
1000321,2025-01-13,980,withdrawal,2743.28,CHF,false
1000322,2025-01-02,4943,withdrawal,8895.81,GBP,false
1000323,2025-03-04,3232,withdrawal,5843.79,CHF,false
1000324,2025-02-08,929,transfer,4158.61,AUD,false
1000325,2025-02-05,2412,transfer,5660.94,SEK,false
1000326,2025-01-07,2215,deposit,2313.0,BGN,false
1000327,2025-02-08,4224,transfer,902.45,DKK,false
1000328,2025-02-05,3396,withdrawal,8337.45,RON,false
1000329,2025-01-12,634,withdrawal,8491.03,JPY,false
1000330,2025-01-30,3303,withdrawal,7653.14,HUF,false
1000331,2025-02-16,909,deposit,7613.98,GBP,false
1000332,2025-01-23,2935,deposit,2978.44,GBP,false
1000333,2025-01-29,4971,deposit,8339.19,BGN,false
1000334,2025-03-10,3229,transfer,7951.84,HUF,false
1000335,2025-01-16,2439,withdrawal,4383.72,GBP,false
1000336,2025-01-06,3055,deposit,322.21,NOK,false
1000337,2025-03-10,3603,deposit,6380.17,RON,false
1000338,2025-01-31,2196,withdrawal,2287.43,AUD,false
1000339,2025-01-02,2292,withdrawal,6938.3,TRY,false
1000340,2025-02-02,3904,withdrawal,1347.43,PLN,false
1000341,2025-01-14,1308,transfer,6190.14,RON,false
1000342,2025-02-08,4818,transfer,4636.6,CZK,false
1000343,2025-03-05,1015,transfer,451.88,GBP,false
1000344,2025-03-08,4419,deposit,1830.46,GBP,false
1000345,2025-01-19,2883,withdrawal,1376.7,ISK,false
1000346,2025-02-25,726,deposit,8609.8,ISK,false
1000347,2025-01-05,963,deposit,7034.66,GBP,false
1000348,2025-01-18,1025,transfer,4447.85,HUF,false
1000349,2025-01-11,254,withdrawal,4471.89,PLN,false
1000350,2025-02-15,270,withdrawal,7640.25,RON,false
1000351,2025-02-17,2749,withdrawal,7626.62,RON,false
1000352,2025-02-09,2478,withdrawal,7556.54,GBP,false
1000353,2025-02-07,2216,deposit,8204.47,GBP,false
1000354,2025-03-06,4293,transfer,1794.93,SEK,false
1000355,2025-01-19,540,deposit,26.56,SEK,false
1000356,2025-02-20,2508,withdrawal,287.0,JPY,false
1000357,2025-03-02,4894,deposit,2010.27,CZK,false
1000358,2025-02-03,4704,deposit,9055.14,CZK,false
1000359,2025-01-01,3655,withdrawal,3690.81,AUD,false
1000360,2025-02-18,2163,withdrawal,7769.92,ISK,false
1000361,2025-02-13,3839,withdrawal,6482.32,JPY,false
1000362,2025-02-21,3458,transfer,8724.28,AUD,false
1000363,2025-01-11,3693,deposit,7353.05,GBP,false
1000364,2025-01-04,3171,transfer,8373.7,SEK,false
1000365,2025-03-05,1295,deposit,1620.1,NOK,false
1000366,2025-01-27,2918,withdrawal,5998.17,TRY,false
1000367,2025-03-01,3889,deposit,8941.64,GBP,false
1000368,2025-01-18,2237,transfer,4558.16,JPY,false
1000369,2025-03-05,250,deposit,6110.59,CHF,false
1000370,2025-02-06,4020,deposit,6188.29,SEK,false
1000371,2025-03-01,4780,deposit,9478.07,RON,false
1000372,2025-01-25,3511,transfer,3982.47,DKK,false
1000373,2025-02-03,4637,withdrawal,7359.4,AUD,false
1000374,2025-02-15,4554,deposit,8899.48,NOK,false
1000375,2025-01-10,4700,withdrawal,1120.77,RON,false
1000376,2025-01-17,3517,withdrawal,3042.76,TRY,false
1000377,2025-02-16,2198,transfer,8656.92,HUF,false
1000378,2025-01-17,932,deposit,2888.51,RON,false
1000379,2025-01-17,4992,withdrawal,4540.95,SEK,false
1000380,2025-02-23,3868,transfer,2195.47,HUF,false
1000381,2025-03-03,1098,withdrawal,9388.2,AUD,false
1000382,2025-01-10,2708,withdrawal,7352.05,AUD,false
1000383,2025-02-18,1437,transfer,1073.02,RON,false
1000384,2025-01-21,1936,deposit,4696.21,SEK,false
1000385,2025-01-13,1914,withdrawal,70.73,NOK,false
1000386,2025-02-03,4796,withdrawal,5899.61,SEK,false
1000387,2025-02-22,4657,transfer,2533.95,JPY,false
1000388,2025-03-03,3887,transfer,2690.71,SEK,false
1000389,2025-03-04,3515,withdrawal,8855.29,CZK,false
1000390,2025-01-23,590,transfer,7673.25,CZK,false
1000391,2025-01-30,908,transfer,6240.2,GBP,false
1000392,2025-01-13,3422,withdrawal,7314.54,BGN,false
1000393,2025-01-30,4112,deposit,4786.27,DKK,false
1000394,2025-01-23,4969,withdrawal,2454.12,SEK,false
1000395,2025-02-09,2357,transfer,149.99,RON,false
1000396,2025-01-10,2791,transfer,8081.6,RON,false
1000397,2025-02-07,3738,transfer,6601.1,BGN,false
1000398,2025-01-12,2405,withdrawal,1531.42,RON,false
1000399,2025-02-17,2700,deposit,7174.14,RON,false
1000400,2025-01-31,1337,transfer,9874.6,TRY,false
1000401,2025-03-07,2214,transfer,1824.34,HUF,false
1000402,2025-02-15,1127,transfer,8706.91,AUD,false
1000403,2025-01-03,463,transfer,1952.78,TRY,false
1000404,2025-02-18,823,deposit,6470.92,JPY,false
1000405,2025-02-12,2083,withdrawal,8009.72,CHF,false
1000406,2025-02-21,1770,transfer,5864.23,CHF,false
1000407,2025-01-16,3096,deposit,9599.07,SEK,false
1000408,2025-02-11,2713,transfer,9826.28,ISK,false
1000409,2025-02-02,3222,transfer,1927.49,JPY,false
1000410,2025-01-30,4464,deposit,2331.02,RON,false
1000411,2025-02-07,3696,transfer,8774.6,PLN,false
1000412,2025-03-04,4469,withdrawal,1670.3,CZK,false
1000413,2025-03-07,3246,withdrawal,9471.74,NOK,false
1000414,2025-02-02,684,deposit,605.44,JPY,false
1000415,2025-03-01,1965,withdrawal,4220.3,CZK,false
1000416,2025-01-17,1272,transfer,9440.2,TRY,false
1000417,2025-02-26,4477,withdrawal,5157.81,HUF,false
1000418,2025-01-16,4561,withdrawal,8619.03,JPY,false
1000419,2025-01-23,2083,deposit,6419.63,JPY,false
1000420,2025-02-27,1138,deposit,8956.84,HUF,false
1000421,2025-02-02,1892,transfer,5544.96,JPY,false
1000422,2025-01-09,3157,transfer,7058.3,AUD,false
1000423,2025-02-08,3384,deposit,9440.97,TRY,false
1000424,2025-02-12,3279,transfer,9368.07,PLN,false
1000425,2025-02-02,1962,withdrawal,38.27,AUD,false
1000426,2025-02-06,4364,withdrawal,2951.83,CHF,false
1000427,2025-01-23,365,transfer,5928.77,NOK,false
1000428,2025-02-10,1873,deposit,5124.37,SEK,false
1000429,2025-01-25,2431,withdrawal,2418.35,JPY,false
1000430,2025-01-20,2370,deposit,7868.61,CZK,false
1000431,2025-02-20,3629,deposit,7305.86,DKK,false
1000432,2025-02-19,820,transfer,5820.29,DKK,false
1000433,2025-02-26,4358,transfer,3858.22,AUD,false
1000434,2025-02-19,4679,withdrawal,5145.01,CZK,false
1000435,2025-02-01,848,withdrawal,2269.76,BGN,false
1000436,2025-02-20,2183,withdrawal,2225.67,JPY,false
1000437,2025-02-15,784,withdrawal,3664.88,TRY,false
1000438,2025-01-28,763,deposit,23.2,JPY,false
1000439,2025-01-15,1682,transfer,7449.41,JPY,false
1000440,2025-01-20,2533,transfer,7512.98,TRY,false
1000441,2025-02-15,2142,deposit,2297.58,ISK,false
1000442,2025-02-15,2435,withdrawal,2573.62,JPY,false
1000443,2025-01-03,4368,deposit,5482.21,JPY,false
1000444,2025-02-08,1755,transfer,9244.4,DKK,false
1000445,2025-02-23,2059,deposit,7891.83,TRY,false
1000446,2025-02-01,4573,transfer,686.76,NOK,false
1000447,2025-03-07,2976,withdrawal,1940.46,BGN,false
1000448,2025-02-08,1307,transfer,5270.08,CHF,false
1000449,2025-01-08,3975,transfer,7559.82,AUD,false
1000450,2025-03-01,1040,deposit,6976.23,JPY,false
1000451,2025-01-30,4667,withdrawal,687.6,SEK,false
1000452,2025-03-05,4711,deposit,2573.5,NOK,false
1000453,2025-02-03,782,deposit,8933.35,CHF,false
1000454,2025-01-21,3428,deposit,4064.32,TRY,false
1000455,2025-03-06,1449,deposit,6525.68,TRY,false
1000456,2025-01-22,2582,transfer,3675.38,TRY,false
1000457,2025-02-24,3342,deposit,1349.21,NOK,false
1000458,2025-03-02,2812,deposit,9706.38,RON,false
1000459,2025-02-13,1302,deposit,5871.6,TRY,false
1000460,2025-01-26,740,withdrawal,6616.53,DKK,false
1000461,2025-02-19,1371,transfer,4866.51,NOK,false
1000462,2025-01-22,1994,withdrawal,9140.83,TRY,false
1000463,2025-01-15,4514,transfer,2888.1,RON,false
1000464,2025-02-25,4987,deposit,1177.8,CZK,false
1000465,2025-01-10,3326,transfer,3528.99,GBP,false
1000466,2025-01-20,70,transfer,1226.47,AUD,false
1000467,2025-02-19,4562,deposit,3245.94,HUF,false
1000468,2025-01-28,3398,deposit,6116.24,RON,false
1000469,2025-03-05,102,transfer,2780.0,CHF,false
1000470,2025-01-13,3273,withdrawal,2633.2,HUF,false
1000471,2025-02-19,985,withdrawal,8246.37,JPY,false
1000472,2025-02-14,1977,withdrawal,1953.69,SEK,false
1000473,2025-01-05,4451,withdrawal,4423.87,DKK,false
