transaction_id,transaction_date,account_id,transaction_type,transaction_amount,transaction_currency
1000068,19.02.2025,1306,withdrawal,"1967,65", CZK
1000069,05.02.2025,2173,deposit,"3144,08", BGN
1000070,14.01.2025,1923,deposit,"4140,08", CZK
1000071,12.01.2025,4809,transfer,"4008,63", BGN
1000072,09.01.2025,3041,transfer,"5936,45", BGN
1000073,26.02.2025,1406,withdrawal,"7092,20", BGN
1000074,02.01.2025,3871,deposit,"3903,44", BGN
1000075,05.03.2025,3594,deposit,"7029,08", NOK
1000076,14.01.2025,2224,transfer,"9200,15", GBP
1000077,22.01.2025,4246,withdrawal,"9042,26", AUD
1000078,01.03.2025,2669,deposit,"9133,03", DKK
1000079,19.01.2025,1080,transfer,"1292,91", GBP
1000080,24.01.2025,4578,withdrawal,"7539,35", SEK
1000081,05.02.2025,2009,withdrawal,"4689,88", JPY
1000082,10.01.2025,367,transfer,"6337,54", AUD
1000083,28.01.2025,2027,withdrawal,"8460,14", NOK
1000084,07.03.2025,2346,transfer,"5453,22", BGN
1000085,28.01.2025,3804,withdrawal,"5582,09", PLN
1000086,22.02.2025,246,withdrawal,"8517,94", RON
1000087,02.02.2025,3058,deposit,"2351,47", ISK
1000088,12.02.2025,2765,deposit,"2377,74", PLN
1000089,11.02.2025,4347,withdrawal,"7440,96", TRY
1000090,09.02.2025,1780,transfer,"9831,21", AUD
1000091,18.02.2025,1929,transfer,"2768,81", CHF
1000092,04.03.2025,4669,transfer,"4351,92", AUD
1000093,18.02.2025,2582,transfer,"8022,70", NOK
1000094,02.01.2025,3516,withdrawal,"4534,84", JPY
1000095,20.01.2025,2557,transfer,"3889,92", GBP
1000096,06.01.2025,4976,deposit,"454,32", JPY
1000097,11.01.2025,3315,deposit,"8595,80", ISK
1000098,14.02.2025,1335,deposit,"4038,86", CHF
1000099,15.01.2025,4761,withdrawal,"5816,69", HUF
1000100,28.01.2025,888,withdrawal,"8011,99", GBP
1000101,05.01.2025,58,transfer,"8036,98", HUF
1000102,12.02.2025,3230,withdrawal,"7115,18", ISK
1000103,28.01.2025,1900,deposit,"850,08", DKK
1000104,18.01.2025,2298,transfer,"781,07", HUF
1000105,14.01.2025,3888,withdrawal,"2300,08", GBP
1000106,09.01.2025,3173,deposit,"8425,08", AUD
1000107,08.01.2025,2905,transfer,"8178,18", DKK
1000108,06.02.2025,3328,withdrawal,"9818,74", HUF
1000109,22.01.2025,2602,deposit,"2353,25", TRY
1000110,12.02.2025,3193,withdrawal,"3697,17", GBP
1000111,07.02.2025,3358,transfer,"6011,05", AUD
1000112,26.02.2025,1199,transfer,"7435,33", BGN
1000113,30.01.2025,4507,withdrawal,"8176,35", HUF
1000114,25.02.2025,2880,withdrawal,"72,72", CZK
1000115,10.03.2025,3734,transfer,"1936,97", HUF
1000116,03.01.2025,1446,withdrawal,"2876,15", DKK
1000117,09.02.2025,3839,transfer,"4724,41", GBP
1000118,03.03.2025,4059,withdrawal,"8122,79", CHF
1000119,08.02.2025,817,withdrawal,"4532,76", AUD
1000120,13.01.2025,3205,withdrawal,"1901,91", PLN
1000121,06.02.2025,2286,deposit,"8738,47", CZK
1000122,14.02.2025,83,transfer,"4168,11", CZK
1000123,02.02.2025,3815,transfer,"9408,10", TRY
1000124,23.02.2025,766,transfer,"6529,83", ISK
1000125,27.01.2025,535,transfer,"5577,81", NOK
1000126,08.02.2025,3668,transfer,"8980,51", SEK
1000127,13.01.2025,2488,transfer,"2512,25", SEK
1000128,29.01.2025,2549,transfer,"412,98", HUF
1000129,28.02.2025,3545,withdrawal,"8930,37", PLN
1000130,10.02.2025,225,withdrawal,"8610,54", DKK
1000131,06.01.2025,2131,deposit,"8809,32", CZK
1000132,27.02.2025,3506,transfer,"7095,75", GBP
1000133,04.02.2025,3341,deposit,"3501,32", AUD
1000134,05.01.2025,1696,transfer,"4015,03", AUD
1000135,31.01.2025,800,withdrawal,"9734,44", CHF
1000136,13.01.2025,3828,withdrawal,"3459,35", PLN
1000137,05.02.2025,2468,deposit,"5973,61", PLN
1000138,02.01.2025,1611,withdrawal,"6351,10", DKK
1000139,13.01.2025,1417,withdrawal,"8092,80", AUD
1000140,23.01.2025,562,transfer,"283,11", AUD
1000141,03.03.2025,341,transfer,"1328,47", TRY
1000142,02.02.2025,995,deposit,"1121,63", DKK
1000143,23.01.2025,2741,withdrawal,"8146,48", DKK
1000144,30.01.2025,3084,transfer,"6117,73", RON
1000145,06.01.2025,877,withdrawal,"4505,91", GBP
1000146,26.01.2025,1916,withdrawal,"8992,83", PLN
1000147,27.02.2025,1900,withdrawal,"6555,86", DKK
1000148,09.01.2025,4455,withdrawal,"800,76", SEK
1000149,03.02.2025,3948,transfer,"3594,18", TRY
1000150,02.01.2025,1701,transfer,"9542,23", HUF
1000151,09.01.2025,4534,deposit,"2965,07", RON
1000152,04.03.2025,3809,deposit,"6437,78", CHF
1000153,25.01.2025,827,transfer,"7776,70", AUD
1000154,03.02.2025,2479,withdrawal,"227,59", AUD
1000155,24.01.2025,4086,transfer,"1879,23", DKK
1000156,18.01.2025,322,deposit,"6627,18", BGN
1000157,13.01.2025,3179,deposit,"1818,88", ISK
1000158,11.01.2025,4779,withdrawal,"7957,52", BGN
1000159,01.03.2025,3509,deposit,"7694,17", ISK
1000160,08.03.2025,4635,withdrawal,"249,80", RON
1000161,08.01.2025,3251,deposit,"1041,17", JPY
1000162,12.02.2025,80,withdrawal,"7122,46", TRY
1000163,06.03.2025,3656,deposit,"3771,57", AUD
1000164,28.01.2025,422,deposit,"7130,18", DKK
1000165,19.02.2025,2969,transfer,"8504,93", GBP
1000166,01.01.2025,176,deposit,"3283,03", SEK
1000167,09.02.2025,4654,deposit,"4874,28", BGN
1000168,14.02.2025,2146,transfer,"31,59", CHF
1000169,06.02.2025,838,deposit,"1743,18", BGN
1000170,29.01.2025,4862,withdrawal,"1622,55", BGN
1000171,08.01.2025,3703,deposit,"9249,69", SEK
1000172,06.03.2025,2843,transfer,"778,67", SEK
1000173,21.01.2025,1664,deposit,"4638,99", CZK
1000174,15.02.2025,4199,deposit,"6322,63", CZK
1000175,12.02.2025,249,transfer,"2925,27", TRY
1000176,27.02.2025,4105,transfer,"6707,68", PLN
1000177,13.01.2025,1952,transfer,"253,68", NOK
1000178,03.01.2025,63,deposit,"9005,83", JPY
1000179,18.02.2025,4633,withdrawal,"8308,05", TRY
1000180,07.03.2025,141,deposit,"900,02", CZK
1000181,28.02.2025,2355,withdrawal,"6684,28", ISK
1000182,19.02.2025,1742,deposit,"396,30", RON
1000183,11.01.2025,604,withdrawal,"4896,34", SEK
1000184,23.02.2025,3160,withdrawal,"7900,03", HUF
1000185,21.01.2025,700,withdrawal,"2473,13", ISK
1000186,22.01.2025,116,deposit,"5078,92", GBP
1000187,05.02.2025,1851,deposit,"3149,06", SEK
1000188,11.02.2025,1869,withdrawal,"261,32", JPY
1000189,25.02.2025,1581,deposit,"3161,28", RON
1000190,05.03.2025,4448,deposit,"1992,52", CZK
1000191,24.01.2025,25,transfer,"2733,06", CZK
1000192,15.01.2025,543,withdrawal,"1668,33", TRY
1000193,24.01.2025,2719,transfer,"8258,47", AUD
1000194,19.01.2025,507,transfer,"2793,91", GBP
1000195,28.01.2025,1790,withdrawal,"6365,15", JPY
1000196,11.02.2025,1060,transfer,"7148,85", PLN
1000197,28.02.2025,1857,deposit,"7339,20", CZK
1000198,14.01.2025,4900,withdrawal,"3104,38", BGN
1000199,01.02.2025,260,deposit,"4946,16", CZK
1000200,09.03.2025,3431,deposit,"4266,34", BGN
1000201,04.02.2025,4210,transfer,"8816,19", JPY
1000202,24.02.2025,679,deposit,"5971,12", ISK
1000203,11.01.2025,2067,transfer,"5310,75", CHF
1000204,02.01.2025,2932,transfer,"6042,89", AUD
1000205,20.02.2025,3735,transfer,"6030,42", RON
1000206,25.02.2025,3802,withdrawal,"6004,03", HUF
1000207,03.03.2025,204,transfer,"7962,98", JPY
1000208,09.03.2025,3927,transfer,"6417,30", PLN
1000209,05.01.2025,2976,withdrawal,"7537,60", ISK
1000210,23.01.2025,983,transfer,"4361,44", CHF
1000211,12.02.2025,1801,withdrawal,"1808,82", SEK
1000212,19.02.2025,4416,deposit,"330,10", AUD
1000213,18.01.2025,3484,transfer,"9651,51", JPY
1000214,14.02.2025,4887,deposit,"4893,10", SEK
1000215,02.02.2025,1930,deposit,"1220,73", NOK
1000216,15.01.2025,681,withdrawal,"7604,39", CHF
1000217,12.02.2025,2668,transfer,"2989,66", RON
1000218,12.01.2025,772,deposit,"6371,25", ISK
1000219,28.01.2025,3856,transfer,"3796,11", ISK
1000220,23.02.2025,830,withdrawal,"6011,88", GBP
1000221,06.02.2025,3346,transfer,"8229,31", CHF
1000222,08.01.2025,4022,transfer,"2158,72", DKK
1000223,23.02.2025,1128,deposit,"8919,67", NOK
1000224,10.01.2025,3630,transfer,"9956,39", NOK
1000225,29.01.2025,3766,transfer,"4190,05", NOK
1000226,13.02.2025,972,deposit,"8167,05", BGN
1000227,16.02.2025,4748,withdrawal,"9782,04", CHF
1000228,08.01.2025,328,withdrawal,"4452,98", TRY
1000229,03.02.2025,3680,transfer,"3337,87", RON
1000230,01.02.2025,3035,withdrawal,"94,38", GBP
1000231,04.02.2025,1137,deposit,"7084,70", JPY
1000232,10.01.2025,1058,transfer,"3739,20", DKK
1000233,23.02.2025,4390,withdrawal,"2579,08", SEK
1000234,02.02.2025,2548,deposit,"7468,91", GBP
1000235,27.01.2025,4317,transfer,"5888,79", SEK
1000236,24.01.2025,647,withdrawal,"3961,67", DKK
1000237,23.02.2025,3578,withdrawal,"6110,44", SEK
1000238,05.01.2025,2997,transfer,"6951,66", NOK
1000239,25.01.2025,3086,deposit,"2283,98", NOK
1000240,09.02.2025,3786,deposit,"6554,06", GBP
1000241,21.02.2025,1976,transfer,"3337,12", BGN
1000242,08.01.2025,3959,deposit,"7065,97", HUF
1000243,05.03.2025,1493,deposit,"1542,04", TRY
1000244,20.01.2025,3405,deposit,"1808,91", GBP
1000245,12.01.2025,1510,withdrawal,"842,50", CZK
1000246,15.01.2025,3622,deposit,"1358,12", RON
1000247,10.03.2025,1502,transfer,"3332,88", NOK
1000248,23.02.2025,4248,transfer,"1070,62", RON
1000249,14.02.2025,871,transfer,"535,47", NOK
1000250,08.02.2025,1724,withdrawal,"4885,72", ISK
1000251,18.02.2025,95,withdrawal,"9052,09", BGN
1000252,30.01.2025,2659,transfer,"6306,60", JPY
1000253,03.02.2025,891,transfer,"3496,85", TRY
1000254,01.03.2025,2865,deposit,"4904,86", NOK
1000255,28.02.2025,839,deposit,"4403,67", TRY
1000256,03.02.2025,3726,transfer,"5455,02", NOK
1000257,16.01.2025,4128,withdrawal,"6850,14", CZK
1000258,08.03.2025,732,transfer,"3610,90", SEK
1000259,20.01.2025,3079,withdrawal,"3267,74", BGN
1000260,28.01.2025,858,deposit,"2140,62", SEK
1000261,09.03.2025,2176,transfer,"6054,10", SEK
1000262,04.01.2025,4642,deposit,"9950,74", ISK
1000263,28.02.2025,2296,deposit,"8816,83", ISK
1000264,03.03.2025,1864,deposit,"9295,02", GBP
1000265,18.02.2025,209,withdrawal,"57,81", BGN
1000266,05.01.2025,511,withdrawal,"1290,31", CZK
1000267,01.01.2025,1106,withdrawal,"8217,51", PLN
1000268,07.02.2025,3645,transfer,"1442,15", TRY
1000269,15.01.2025,2436,withdrawal,"3657,56", GBP
1000270,02.03.2025,4653,deposit,"4604,17", CHF
1000271,13.02.2025,201,deposit,"9743,75", BGN
1000272,25.01.2025,44,withdrawal,"3698,12", CHF
1000273,08.02.2025,2248,transfer,"19,33", CZK
1000274,15.01.2025,176,transfer,"6415,64", DKK
1000275,28.02.2025,1389,deposit,"2297,50", HUF
1000276,17.01.2025,2004,deposit,"5045,70", RON
1000277,05.01.2025,4404,deposit,"8039,02", DKK
1000278,09.03.2025,1732,withdrawal,"8164,56", AUD
1000279,08.01.2025,295,withdrawal,"338,49", NOK
1000280,09.01.2025,1105,deposit,"7489,09", HUF
1000281,16.01.2025,356,transfer,"9309,00", PLN
1000282,07.01.2025,2250,withdrawal,"5643,84", BGN
1000283,25.02.2025,898,withdrawal,"4873,22", JPY
1000284,25.01.2025,22,deposit,"7115,66", PLN
1000285,22.01.2025,3511,withdrawal,"5510,38", CHF
1000286,08.02.2025,2292,deposit,"9434,88", RON
1000287,14.01.2025,2769,withdrawal,"6406,53", NOK
1000288,12.01.2025,2980,withdrawal,"3692,76", NOK
1000289,23.02.2025,417,deposit,"1027,53", PLN
1000290,26.01.2025,2549,deposit,"9241,53", PLN
1000291,04.02.2025,839,transfer,"2681,16", NOK
1000292,05.03.2025,2322,withdrawal,"7950,65", TRY
1000293,19.02.2025,1970,deposit,"7513,22", AUD
1000294,21.01.2025,4574,deposit,"7077,99", JPY
1000295,09.01.2025,3835,withdrawal,"9352,01", CHF
1000296,25.01.2025,4478,transfer,"7002,48", CHF
1000297,07.03.2025,1164,withdrawal,"7789,70", NOK
1000298,17.01.2025,455,transfer,"1357,66", PLN
1000299,06.01.2025,1522,transfer,"517,91", CZK
1000300,08.02.2025,4147,withdrawal,"1877,53", JPY
1000301,26.01.2025,3109,withdrawal,"9561,41", TRY
1000302,23.01.2025,2096,deposit,"2388,93", RON
1000303,07.02.2025,3634,withdrawal,"6249,42", AUD
1000304,16.02.2025,3235,deposit,"5324,33", AUD
1000305,02.02.2025,2180,transfer,"4639,87", JPY
1000306,02.03.2025,4263,transfer,"7224,33", NOK
1000307,04.02.2025,4508,transfer,"1178,95", CHF
1000308,05.03.2025,1268,withdrawal,"7770,54", AUD
1000309,25.01.2025,29,deposit,"724,66", BGN
1000310,11.01.2025,2124,withdrawal,"7211,93", JPY
1000311,01.03.2025,1547,deposit,"7673,45", CHF
1000312,30.01.2025,2516,deposit,"5926,37", GBP
1000313,10.02.2025,3562,withdrawal,"8511,52", HUF
1000314,13.01.2025,4922,transfer,"526,77", SEK
1000315,28.01.2025,47,deposit,"3285,41", JPY
1000316,29.01.2025,278,withdrawal,"2746,78", JPY
1000317,02.01.2025,3271,deposit,"7051,65", PLN
1000318,10.01.2025,3826,withdrawal,"581,61", GBP
1000319,15.02.2025,1835,deposit,"1373,41", AUD
1000320,07.02.2025,2635,deposit,"4259,93", BGN
1000321,13.01.2025,980,withdrawal,"2743,28", CHF
1000322,02.01.2025,4943,withdrawal,"8895,81", GBP
1000323,04.03.2025,3232,withdrawal,"5843,79", CHF
1000324,08.02.2025,929,transfer,"4158,61", AUD
1000325,05.02.2025,2412,transfer,"5660,94", SEK
1000326,07.01.2025,2215,deposit,"2313,00", BGN
1000327,08.02.2025,4224,transfer,"902,45", DKK
1000328,05.02.2025,3396,withdrawal,"8337,45", RON
1000329,12.01.2025,634,withdrawal,"8491,03", JPY
1000330,30.01.2025,3303,withdrawal,"7653,14", HUF
1000331,16.02.2025,909,deposit,"7613,98", GBP
1000332,23.01.2025,2935,deposit,"2978,44", GBP
1000333,29.01.2025,4971,deposit,"8339,19", BGN
1000334,10.03.2025,3229,transfer,"7951,84", HUF
1000335,16.01.2025,2439,withdrawal,"4383,72", GBP
1000336,06.01.2025,3055,deposit,"322,21", NOK
1000337,10.03.2025,3603,deposit,"6380,17", RON
1000338,31.01.2025,2196,withdrawal,"2287,43", AUD
1000339,02.01.2025,2292,withdrawal,"6938,30", TRY
1000340,02.02.2025,3904,withdrawal,"1347,43", PLN
1000341,14.01.2025,1308,transfer,"6190,14", RON
1000342,08.02.2025,4818,transfer,"4636,60", CZK
1000343,05.03.2025,1015,transfer,"451,88", GBP
1000344,08.03.2025,4419,deposit,"1830,46", GBP
1000345,19.01.2025,2883,withdrawal,"1376,70", ISK
1000346,25.02.2025,726,deposit,"8609,80", ISK
1000347,05.01.2025,963,deposit,"7034,66", GBP
1000348,18.01.2025,1025,transfer,"4447,85", HUF
1000349,11.01.2025,254,withdrawal,"4471,89", PLN
1000350,15.02.2025,270,withdrawal,"7640,25", RON
1000351,17.02.2025,2749,withdrawal,"7626,62", RON
1000352,09.02.2025,2478,withdrawal,"7556,54", GBP
1000353,07.02.2025,2216,deposit,"8204,47", GBP
1000354,06.03.2025,4293,transfer,"1794,93", SEK
1000355,19.01.2025,540,deposit,"26,56", SEK
1000356,20.02.2025,2508,withdrawal,"287,00", JPY
1000357,02.03.2025,4894,deposit,"2010,27", CZK
1000358,03.02.2025,4704,deposit,"9055,14", CZK
1000359,01.01.2025,3655,withdrawal,"3690,81", AUD
1000360,18.02.2025,2163,withdrawal,"7769,92", ISK
1000361,13.02.2025,3839,withdrawal,"6482,32", JPY
1000362,21.02.2025,3458,transfer,"8724,28", AUD
1000363,11.01.2025,3693,deposit,"7353,05", GBP
1000364,04.01.2025,3171,transfer,"8373,70", SEK
1000365,05.03.2025,1295,deposit,"1620,10", NOK
1000366,27.01.2025,2918,withdrawal,"5998,17", TRY
1000367,01.03.2025,3889,deposit,"8941,64", GBP
1000368,18.01.2025,2237,transfer,"4558,16", JPY
1000369,05.03.2025,250,deposit,"6110,59", CHF
1000370,06.02.2025,4020,deposit,"6188,29", SEK
1000371,01.03.2025,4780,deposit,"9478,07", RON
1000372,25.01.2025,3511,transfer,"3982,47", DKK
1000373,03.02.2025,4637,withdrawal,"7359,40", AUD
1000374,15.02.2025,4554,deposit,"8899,48", NOK
1000375,10.01.2025,4700,withdrawal,"1120,77", RON
1000376,17.01.2025,3517,withdrawal,"3042,76", TRY
1000377,16.02.2025,2198,transfer,"8656,92", HUF
1000378,17.01.2025,932,deposit,"2888,51", RON
1000379,17.01.2025,4992,withdrawal,"4540,95", SEK
1000380,23.02.2025,3868,transfer,"2195,47", HUF
1000381,03.03.2025,1098,withdrawal,"9388,20", AUD
1000382,10.01.2025,2708,withdrawal,"7352,05", AUD
1000383,18.02.2025,1437,transfer,"1073,02", RON
1000384,21.01.2025,1936,deposit,"4696,21", SEK
1000385,13.01.2025,1914,withdrawal,"70,73", NOK
1000386,03.02.2025,4796,withdrawal,"5899,61", SEK
1000387,22.02.2025,4657,transfer,"2533,95", JPY
1000388,03.03.2025,3887,transfer,"2690,71", SEK
1000389,04.03.2025,3515,withdrawal,"8855,29", CZK
1000390,23.01.2025,590,transfer,"7673,25", CZK
1000391,30.01.2025,908,transfer,"6240,20", GBP
1000392,13.01.2025,3422,withdrawal,"7314,54", BGN
1000393,30.01.2025,4112,deposit,"4786,27", DKK
1000394,23.01.2025,4969,withdrawal,"2454,12", SEK
1000395,09.02.2025,2357,transfer,"149,99", RON
1000396,10.01.2025,2791,transfer,"8081,60", RON
1000397,07.02.2025,3738,transfer,"6601,10", BGN
1000398,12.01.2025,2405,withdrawal,"1531,42", RON
1000399,17.02.2025,2700,deposit,"7174,14", RON
1000400,31.01.2025,1337,transfer,"9874,60", TRY
1000401,07.03.2025,2214,transfer,"1824,34", HUF
1000402,15.02.2025,1127,transfer,"8706,91", AUD
1000403,03.01.2025,463,transfer,"1952,78", TRY
1000404,18.02.2025,823,deposit,"6470,92", JPY
1000405,12.02.2025,2083,withdrawal,"8009,72", CHF
1000406,21.02.2025,1770,transfer,"5864,23", CHF
1000407,16.01.2025,3096,deposit,"9599,07", SEK
1000408,11.02.2025,2713,transfer,"9826,28", ISK
1000409,02.02.2025,3222,transfer,"1927,49", JPY
1000410,30.01.2025,4464,deposit,"2331,02", RON
1000411,07.02.2025,3696,transfer,"8774,60", PLN
1000412,04.03.2025,4469,withdrawal,"1670,30", CZK
1000413,07.03.2025,3246,withdrawal,"9471,74", NOK
1000414,02.02.2025,684,deposit,"605,44", JPY
1000415,01.03.2025,1965,withdrawal,"4220,30", CZK
1000416,17.01.2025,1272,transfer,"9440,20", TRY
1000417,26.02.2025,4477,withdrawal,"5157,81", HUF
1000418,16.01.2025,4561,withdrawal,"8619,03", JPY
1000419,23.01.2025,2083,deposit,"6419,63", JPY
1000420,27.02.2025,1138,deposit,"8956,84", HUF
1000421,02.02.2025,1892,transfer,"5544,96", JPY
1000422,09.01.2025,3157,transfer,"7058,30", AUD
1000423,08.02.2025,3384,deposit,"9440,97", TRY
1000424,12.02.2025,3279,transfer,"9368,07", PLN
1000425,02.02.2025,1962,withdrawal,"38,27", AUD
1000426,06.02.2025,4364,withdrawal,"2951,83", CHF
1000427,23.01.2025,365,transfer,"5928,77", NOK
1000428,10.02.2025,1873,deposit,"5124,37", SEK
1000429,25.01.2025,2431,withdrawal,"2418,35", JPY
1000430,20.01.2025,2370,deposit,"7868,61", CZK
1000431,20.02.2025,3629,deposit,"7305,86", DKK
1000432,19.02.2025,820,transfer,"5820,29", DKK
1000433,26.02.2025,4358,transfer,"3858,22", AUD
1000434,19.02.2025,4679,withdrawal,"5145,01", CZK
1000435,01.02.2025,848,withdrawal,"2269,76", BGN
1000436,20.02.2025,2183,withdrawal,"2225,67", JPY
1000437,15.02.2025,784,withdrawal,"3664,88", TRY
1000438,28.01.2025,763,deposit,"23,20", JPY
1000439,15.01.2025,1682,transfer,"7449,41", JPY
1000440,20.01.2025,2533,transfer,"7512,98", TRY
1000441,15.02.2025,2142,deposit,"2297,58", ISK
1000442,15.02.2025,2435,withdrawal,"2573,62", JPY
1000443,03.01.2025,4368,deposit,"5482,21", JPY
1000444,08.02.2025,1755,transfer,"9244,40", DKK
1000445,23.02.2025,2059,deposit,"7891,83", TRY
1000446,01.02.2025,4573,transfer,"686,76", NOK
1000447,07.03.2025,2976,withdrawal,"1940,46", BGN
1000448,08.02.2025,1307,transfer,"5270,08", CHF
1000449,08.01.2025,3975,transfer,"7559,82", AUD
1000450,01.03.2025,1040,deposit,"6976,23", JPY
1000451,30.01.2025,4667,withdrawal,"687,60", SEK
1000452,05.03.2025,4711,deposit,"2573,50", NOK
1000453,03.02.2025,782,deposit,"8933,35", CHF
1000454,21.01.2025,3428,deposit,"4064,32", TRY
1000455,06.03.2025,1449,deposit,"6525,68", TRY
1000456,22.01.2025,2582,transfer,"3675,38", TRY
1000457,24.02.2025,3342,deposit,"1349,21", NOK
1000458,02.03.2025,2812,deposit,"9706,38", RON
1000459,13.02.2025,1302,deposit,"5871,60", TRY
1000460,26.01.2025,740,withdrawal,"6616,53", DKK
1000461,19.02.2025,1371,transfer,"4866,51", NOK
1000462,22.01.2025,1994,withdrawal,"9140,83", TRY
1000463,15.01.2025,4514,transfer,"2888,10", RON
1000464,25.02.2025,4987,deposit,"1177,80", CZK
1000465,10.01.2025,3326,transfer,"3528,99", GBP
1000466,20.01.2025,70,transfer,"1226,47", AUD
1000467,19.02.2025,4562,deposit,"3245,94", HUF
1000468,28.01.2025,3398,deposit,"6116,24", RON
1000469,05.03.2025,102,transfer,"2780,00", CHF
1000470,13.01.2025,3273,withdrawal,"2633,20", HUF
1000471,19.02.2025,985,withdrawal,"8246,37", JPY
1000472,14.02.2025,1977,withdrawal,"1953,69", SEK
1000473,05.01.2025,4451,withdrawal,"4423,87", DKK
1000474,09.01.2025,2764,transfer,"1481,52", TRY
1000475,08.01.2025,1270,withdrawal,"2042,64", JPY
1000476,27.02.2025,4206,transfer,"6787,70", NOK
1000477,24.01.2025,401,withdrawal,"3935,12", TRY
1000478,05.01.2025,2196,deposit,"6023,37", HUF
1000479,27.01.2025,1749,transfer,"5447,41", GBP
1000480,09.02.2025,2637,deposit,"6703,43", HUF
1000481,04.01.2025,1136,withdrawal,"9736,68", BGN
1000482,08.03.2025,3889,transfer,"6040,13", SEK
1000483,09.03.2025,1335,withdrawal,"7529,23", JPY
1000484,18.02.2025,3865,deposit,"7819,85", GBP
1000485,28.01.2025,1448,deposit,"3892,85", NOK
1000486,17.01.2025,972,withdrawal,"8891,29", GBP
1000487,10.03.2025,3859,deposit,"3159,78", CZK
1000488,18.01.2025,1991,transfer,"2522,00", JPY
1000489,20.02.2025,1152,transfer,"8867,56", GBP
1000490,04.01.2025,382,transfer,"5266,10", JPY
