customer_id,loan_id,loan_amount,loant_type,interest_rate,loan_term,approval_rejection_date,loan_status
75,75,"24700,58",personal,"0,0311",60,8/21/2020,rejected
76,76,"7925,84",mortgage,"0,0440",12,3/27/2022,rejected
77,77,"15932,98",auto,"0,0125",36,08.08.2020,rejected
78,78,"15576,59",personal,"0,0402",36,8/22/2022,closed
79,79,"35050,1",mortgage,"0,0093",12,05.05.2022,closed
80,80,"14831,38",personal,"0,0004",12,12.12.2022,closed
81,81,"45026,29",personal,"0,0460",24,9/14/2020,closed
82,82,"49169,26",mortgage,"0,0095",36,2/22/2022,approved
83,83,"4972,02",auto,"0,0023",24,2/24/2021,approved
84,84,"20484,73",mortgage,"0,0151",24,11.06.2020,closed
85,85,"15790,21",mortgage,"0,0272",12,12/14/2022,approved
86,86,"18247,52",personal,"0,0539",24,08.03.2020,rejected
87,87,"14002,39",mortgage,"0,0564",12,11/24/2021,approved
88,88,"19750,58",personal,"0,0220",12,09.08.2020,approved
89,89,"7929,32",auto,"0,0153",48,8/30/2020,approved
90,90,"14711,1",personal,"0,0595",36,8/19/2020,approved
91,91,"37643,08",mortgage,"0,0467",60,1/21/2020,closed
92,92,"17858,28",mortgage,"0,0254",36,7/20/2021,approved
93,93,"11183,91",mortgage,"0,0357",60,07.04.2022,approved
94,94,"6313,76",auto,"0,0056",48,09.04.2022,rejected
95,95,"18052,2",mortgage,"0,0065",48,6/18/2021,closed
96,96,"32527,05",mortgage,"0,0264",36,09.05.2022,rejected
97,97,"13411,94",personal,"0,0509",48,9/22/2020,approved
98,98,"21699,84",mortgage,"0,0367",48,10/18/2022,approved
99,99,"47667,53",personal,"0,0445",12,05.12.2021,rejected
100,100,"28065,78",auto,"0,0535",48,08.01.2022,rejected
101,101,"27064,99",mortgage,"0,0220",24,5/18/2022,approved
102,102,"21087,22",auto,"0,0405",48,02.03.2020,rejected
103,103,"28285,16",mortgage,"0,0361",60,3/20/2021,approved
104,104,"49243,8",mortgage,"0,0571",36,12/29/2020,approved
105,105,"13436,54",mortgage,"0,0596",60,03.04.2020,closed
106,106,"47154,47",personal,"0,0096",12,11.10.2021,rejected
107,107,"8304,48",personal,"0,0235",48,12.03.2022,closed
108,108,"6444,16",personal,"0,0133",24,4/20/2020,approved
109,109,"33078,81",mortgage,"0,0532",12,09.01.2022,closed
110,110,"13307,77",mortgage,"0,0581",36,07.06.2022,closed
111,111,"22775,22",mortgage,"0,0397",48,10/24/2020,approved
112,112,"36753,08",personal,"0,0467",36,06.02.2021,approved
113,113,"27207,23",personal,"0,0199",12,8/31/2020,closed
114,114,"1673,72",auto,"0,0249",24,6/14/2022,closed
115,115,"15986,32",personal,"0,0351",36,07.04.2020,rejected
116,116,"4169,65",auto,"0,0090",48,11/25/2021,closed
117,117,"46379,61",auto,"0,0290",60,3/28/2022,rejected
118,118,"39937,78",personal,"0,0524",60,11/16/2021,closed
119,119,"49208,24",mortgage,"0,0487",36,6/19/2020,rejected
120,120,"44370,37",personal,"0,0086",24,9/28/2021,closed
121,121,"24291,27",auto,"0,0310",12,03.08.2021,approved
122,122,"44247,28",mortgage,"0,0083",48,04.11.2020,approved
123,123,"33949,49",personal,"0,0390",36,5/19/2022,closed
124,124,"26705,38",mortgage,"0,0235",48,12/24/2021,closed
125,125,"19161,66",auto,"0,0147",24,11.09.2021,closed
126,126,"34367,34",personal,"0,0571",60,1/24/2021,approved
127,127,"29916,54",mortgage,"0,0395",12,3/19/2020,closed
128,128,"31095,06",auto,"0,0351",60,3/22/2020,approved
129,129,"20591,74",personal,"0,0192",12,8/22/2020,closed
130,130,"37226,44",personal,"0,0343",60,07.07.2022,closed
131,131,"4985,8",mortgage,"0,0597",36,08.08.2020,closed
132,132,"36581,79",mortgage,"0,0343",24,08.04.2020,approved
133,133,"36807,3",mortgage,"0,0027",60,12/24/2021,rejected
134,134,"26281,23",personal,"0,0378",24,4/13/2020,closed
135,135,"13900,87",mortgage,"0,0152",60,12.06.2021,approved
136,136,"26444,55",mortgage,"0,0474",48,3/26/2022,closed
137,137,"7031,22",mortgage,"0,0597",60,03.08.2021,approved
138,138,"14972,04",personal,"0,0560",12,11.12.2021,approved
139,139,"21643,69",personal,"0,0503",48,09.11.2021,rejected
140,140,"33988,46",auto,"0,0202",36,05.01.2022,closed
141,141,"10173,62",personal,"0,0359",36,12.01.2021,closed
142,142,"8750,37",personal,"0,0121",36,10.08.2020,approved
143,143,"30782,02",mortgage,"0,0006",24,2/28/2020,closed
144,144,"34297,73",mortgage,"0,0369",36,05.03.2021,rejected
145,145,"5099,13",personal,"0,0447",60,08.02.2020,closed
146,146,2625,personal,"0,0234",48,04.12.2020,approved
147,147,"8210,34",mortgage,"0,0491",12,10.11.2021,approved
148,148,"45150,31",mortgage,"0,0493",36,4/14/2021,approved
149,149,"33959,29",mortgage,"0,0275",12,10.08.2020,closed
150,150,"46130,27",auto,"0,0232",24,11/22/2020,approved
151,151,"33571,03",mortgage,"0,0497",24,3/20/2021,approved
152,152,"48296,62",auto,"0,0215",12,3/21/2021,closed
153,153,"22506,43",personal,"0,0580",60,1/30/2022,closed
154,154,"30355,85",mortgage,"0,0387",12,6/13/2022,approved
155,155,"30458,09",auto,"0,0588",48,03.03.2021,approved
156,156,"1153,86",mortgage,"0,0301",36,07.07.2021,approved
157,157,"2345,27",mortgage,"0,0393",60,8/28/2022,approved
158,158,8118,personal,"0,0067",12,4/23/2022,rejected
159,159,"26045,35",auto,"0,0292",48,2/23/2021,rejected
160,160,"22095,8",auto,"0,0470",12,6/24/2022,approved
161,161,"27447,7",mortgage,"0,0065",36,12/22/2020,closed
162,162,"40224,05",personal,"0,0061",24,1/18/2022,closed
163,163,"41289,77",personal,"0,0445",12,12/28/2020,rejected
164,164,"48873,73",personal,"0,0477",48,6/17/2020,rejected
165,165,"28319,84",mortgage,"0,0206",12,4/23/2021,rejected
166,166,"18013,56",personal,"0,0399",36,05.10.2020,closed
167,167,"16093,36",personal,"0,0340",48,9/23/2021,rejected
168,168,"17696,34",personal,"0,0157",24,7/13/2021,closed
169,169,"16867,65",auto,"0,0237",36,6/24/2020,closed
170,170,"20253,08",personal,"0,0321",12,12.08.2022,rejected
171,171,"4669,19",personal,"0,0405",60,2/26/2021,approved
172,172,"32038,19",mortgage,"0,0534",12,5/19/2021,approved
173,173,"28834,02",auto,"0,0077",24,02.01.2022,closed
174,174,"23636,08",personal,"0,0209",12,8/29/2022,closed
175,175,"4974,16",personal,"0,0128",60,7/23/2021,rejected
176,176,"5567,23",auto,"0,0042",24,5/23/2020,approved
177,177,"27710,15",auto,"0,0388",24,7/13/2022,rejected
178,178,"2792,44",personal,"0,0106",12,12.05.2021,approved
179,179,"36514,66",auto,"0,0145",36,8/26/2021,closed
180,180,"49695,13",personal,"0,0352",24,10/27/2020,rejected
181,181,"30272,94",auto,"0,0523",48,5/15/2022,closed
182,182,"36448,14",personal,"0,0500",24,4/27/2022,rejected
183,183,"22507,86",auto,"0,0473",48,1/27/2022,rejected
184,184,"33703,2",personal,"0,0070",36,05.07.2022,closed
185,185,"32937,24",auto,"0,0532",60,10.04.2020,closed
186,186,"41380,45",auto,"0,0502",48,05.05.2022,rejected
187,187,"35855,64",personal,"0,0120",48,03.05.2020,approved
188,188,"37703,43",mortgage,"0,0337",60,6/16/2022,rejected
189,189,"28275,16",auto,"0,0523",24,2/23/2022,closed
190,190,"24741,23",personal,"0,0153",48,01.01.2022,closed
191,191,"23477,11",mortgage,"0,0172",48,10.09.2022,rejected
192,192,"20208,54",mortgage,"0,0421",60,9/16/2022,closed
193,193,"14035,36",personal,"0,0015",24,3/25/2022,rejected
194,194,"2632,24",auto,"0,0245",12,09.08.2020,rejected
195,195,"33883,69",personal,"0,0128",48,6/28/2022,closed
196,196,"45147,1",auto,"0,0596",36,06.05.2020,rejected
197,197,"46593,64",mortgage,"0,0114",60,02.08.2022,closed
198,198,"29447,52",auto,"0,0481",48,10/31/2022,rejected
199,199,"5612,69",personal,"0,0070",24,6/27/2021,approved
200,200,"44054,55",personal,"0,0164",36,1/20/2022,rejected
201,201,"37639,5",mortgage,"0,0235",12,08.07.2021,closed
202,202,"13319,14",personal,"0,0478",36,9/30/2022,approved
203,203,"40373,7",auto,"0,0080",48,12.06.2022,closed
204,204,"24128,39",personal,"0,0587",36,2/15/2022,approved
205,205,"44492,06",personal,"0,0091",12,4/19/2021,rejected
206,206,"13132,94",personal,"0,0454",24,07.04.2020,approved
207,207,"40244,39",auto,"0,0194",12,01.07.2022,closed
208,208,"35883,61",auto,"0,0331",12,03.05.2021,rejected
209,209,"1707,62",mortgage,"0,0038",60,4/14/2020,approved
210,210,"28603,4",auto,"0,0210",60,01.04.2022,approved
211,211,"36061,18",personal,"0,0560",12,8/24/2020,rejected
212,212,"8664,13",personal,"0,0219",36,01.09.2021,closed
213,213,"27063,05",auto,"0,0596",36,4/17/2021,rejected
214,214,"15899,82",auto,"0,0532",12,5/29/2020,rejected
215,215,"35116,39",mortgage,"0,0456",36,04.05.2022,closed
216,216,"27466,85",auto,"0,0405",24,06.03.2021,approved
217,217,"31451,44",mortgage,"0,0312",36,6/25/2022,approved
218,218,"4554,45",mortgage,"0,0335",36,08.08.2020,rejected
219,219,"7751,96",auto,"0,0031",12,09.09.2022,closed
220,220,"28052,37",mortgage,"0,0100",36,11.09.2022,approved
221,221,"9877,47",mortgage,"0,0543",36,01.06.2021,approved
222,222,"25435,87",personal,"0,0302",60,6/24/2020,rejected
223,223,"34811,44",personal,"0,0496",60,2/15/2020,rejected
224,224,"40678,81",personal,"0,0325",36,05.03.2020,approved
225,225,"8007,33",auto,"0,0462",36,10.08.2020,closed
226,226,"37352,06",personal,"0,0584",12,1/16/2020,closed
227,227,"18796,12",mortgage,"0,0088",24,8/22/2021,rejected
228,228,"34267,72",personal,"0,0542",60,09.07.2020,closed
229,229,"8118,95",personal,"0,0212",48,12/16/2022,closed
230,230,"26243,58",auto,"0,0331",36,8/30/2020,rejected
231,231,"42040,55",auto,"0,0310",48,12.01.2022,approved
232,232,"6215,14",auto,"0,0486",12,7/19/2021,approved
233,233,"41556,36",auto,"0,0437",48,05.05.2022,rejected
234,234,"23185,65",personal,"0,0176",24,04.07.2021,closed
235,235,"41340,31",mortgage,"0,0455",24,2/21/2020,rejected
236,236,47961,mortgage,"0,0368",12,8/27/2020,approved
237,237,"8822,98",personal,"0,0332",60,11.09.2022,rejected
238,238,"34053,91",mortgage,"0,0341",36,05.01.2020,rejected
239,239,"12519,73",mortgage,"0,0069",48,1/23/2021,approved
240,240,"7642,16",personal,"0,0210",12,10/22/2020,rejected
241,241,"31776,05",auto,"0,0037",24,3/15/2020,rejected
242,242,"6291,2",personal,"0,0174",24,4/26/2021,approved
243,243,"23793,46",auto,"0,0381",12,04.04.2022,closed
244,244,"32161,76",mortgage,"0,0089",12,8/25/2022,rejected
245,245,"25481,91",auto,"0,0464",12,02.09.2020,closed
246,246,"35156,39",auto,"0,0435",48,8/16/2022,closed
247,247,"40269,19",mortgage,"0,0512",24,11/29/2022,closed
248,248,"43740,07",auto,"0,0101",12,5/28/2020,closed
249,249,"28433,74",mortgage,"0,0263",36,10.08.2022,rejected
250,250,"14554,89",mortgage,"0,0001",12,12.06.2021,approved
251,251,"25973,43",personal,"0,0494",12,09.05.2020,rejected
252,252,"19996,74",personal,"0,0163",48,5/21/2020,closed
253,253,"12070,35",personal,"0,0020",60,8/29/2022,closed
254,254,"26924,3",mortgage,"0,0263",24,09.04.2021,rejected
255,255,"2110,09",auto,"0,0310",12,03.09.2022,closed
256,256,"30672,68",auto,"0,0366",48,1/29/2020,closed
257,257,"41258,59",personal,"0,0179",60,04.03.2021,rejected
258,258,"49972,35",personal,"0,0193",60,08.09.2022,rejected
259,259,"46162,27",personal,"0,0222",60,4/21/2020,approved
260,260,"5400,98",mortgage,"0,0207",12,6/13/2021,closed
261,261,"8959,04",mortgage,"0,0522",12,10/14/2022,closed
262,262,"7793,59",personal,"0,0483",48,1/16/2021,rejected
263,263,"28359,23",mortgage,"0,0499",24,7/26/2021,rejected
264,264,"3250,86",personal,"0,0343",48,8/23/2022,closed
265,265,"46912,64",auto,"0,0435",60,4/23/2022,rejected
266,266,4030,mortgage,"0,0487",36,08.08.2021,rejected
267,267,"20171,28",mortgage,"0,0386",24,03.06.2020,rejected
268,268,"44804,52",mortgage,"0,0256",48,10/27/2020,closed
269,269,"47470,54",mortgage,"0,0004",24,7/25/2022,closed
270,270,"23799,25",auto,"0,0235",36,06.06.2020,approved
271,271,"24933,15",auto,"0,0470",60,9/13/2022,approved
272,272,"32172,68",mortgage,"0,0453",48,04.05.2021,approved
273,273,"20974,3",auto,"0,0574",24,2/19/2021,approved
274,274,"16908,4",personal,"0,0486",24,04.12.2021,closed
275,275,"37231,92",auto,"0,0047",12,6/28/2022,rejected
276,276,"30172,56",personal,"0,0388",60,08.11.2021,closed
277,277,"24601,88",mortgage,"0,0182",48,1/16/2021,closed
278,278,"5938,58",personal,"0,0006",60,12.07.2022,closed
279,279,"4374,22",personal,"0,0034",12,07.06.2020,approved
280,280,"26029,95",auto,"0,0003",36,10/29/2020,rejected
281,281,"31352,15",mortgage,"0,0320",60,5/17/2020,rejected
282,282,"33218,07",auto,"0,0471",12,07.11.2021,closed
283,283,"44849,62",auto,"0,0240",36,11/25/2020,approved
284,284,"40995,02",mortgage,"0,0394",60,12.03.2020,closed
285,285,"7897,35",mortgage,"0,0131",36,11/20/2021,rejected
286,286,"39927,12",auto,"0,0248",48,5/31/2022,rejected
287,287,"34138,85",auto,"0,0287",24,1/29/2021,closed
288,288,"41573,42",personal,"0,0545",36,10/31/2022,rejected
289,289,"42324,38",personal,"0,0434",24,06.06.2020,approved
290,290,"17931,1",auto,"0,0492",48,11/22/2021,rejected
291,291,"13900,17",auto,"0,0305",36,11.04.2022,closed
292,292,"28079,07",auto,"0,0082",24,6/23/2021,rejected
293,293,"15631,78",auto,"0,0469",36,07.09.2020,closed
294,294,"18134,58",auto,"0,0167",12,12/17/2022,closed
295,295,"4388,84",mortgage,"0,0327",36,11/15/2021,approved
296,296,"49576,82",auto,"0,0556",36,09.07.2020,closed
297,297,"16155,55",auto,"0,0535",60,09.08.2022,closed
298,298,"39223,59",personal,"0,0116",60,2/15/2020,rejected
299,299,"49664,76",mortgage,"0,0013",48,11.04.2020,rejected
300,300,"48487,17",personal,"0,0405",48,6/25/2021,rejected
301,301,"32060,27",auto,"0,0330",48,1/22/2021,approved
302,302,"27394,41",auto,"0,0465",24,10/16/2022,approved
303,303,"16154,55",auto,"0,0346",48,7/17/2022,rejected
304,304,"43213,83",auto,"0,0518",48,04.06.2021,approved
305,305,"17561,76",auto,"0,0037",60,9/24/2021,rejected
306,306,"6229,47",mortgage,"0,0368",36,04.05.2022,approved
307,307,"15410,82",mortgage,"0,0480",48,12/13/2020,closed
308,308,"16439,77",mortgage,"0,0482",48,7/21/2020,rejected
309,309,"36205,78",mortgage,"0,0586",36,5/26/2020,rejected
310,310,"9307,56",mortgage,"0,0558",60,8/27/2021,approved
311,311,"16526,3",personal,"0,0221",60,01.10.2021,approved
312,312,"4752,73",personal,"0,0139",36,9/17/2021,closed
313,313,"42571,66",mortgage,"0,0345",60,2/13/2020,approved
314,314,36514,auto,"0,0209",60,8/17/2020,rejected
315,315,"22436,86",auto,"0,0015",12,08.07.2021,closed
316,316,"22070,75",auto,"0,0131",24,4/14/2022,rejected
317,317,"9152,22",mortgage,"0,0140",36,5/15/2020,approved
318,318,"19839,18",mortgage,"0,0465",24,3/31/2022,rejected
319,319,"45434,43",auto,"0,0127",36,01.08.2020,closed
320,320,"7794,24",personal,"0,0530",12,1/23/2022,rejected
321,321,"38486,39",personal,"0,0227",36,08.11.2020,approved
322,322,"3311,62",personal,"0,0313",36,1/14/2021,rejected
323,323,"16272,3",personal,"0,0485",36,8/18/2022,rejected
324,324,"42499,94",auto,"0,0570",12,5/24/2021,closed
325,325,"22804,2",personal,"0,0051",60,07.11.2021,approved
326,326,"35432,01",mortgage,"0,0270",48,2/13/2022,closed
327,327,"6073,55",mortgage,"0,0170",24,4/25/2022,closed
328,328,"34487,86",mortgage,"0,0453",24,12.07.2022,closed
329,329,"41132,01",personal,"0,0237",24,3/22/2021,approved
330,330,"40457,05",mortgage,"0,0352",48,12.01.2021,rejected
331,331,"22504,62",mortgage,"0,0475",60,8/31/2021,approved
332,332,"45302,92",mortgage,"0,0342",12,12/16/2021,rejected
333,333,"29173,77",mortgage,"0,0485",36,7/25/2020,closed
334,334,"41075,72",auto,"0,0198",36,9/21/2020,rejected
335,335,"11459,51",personal,"0,0228",60,03.10.2020,approved
336,336,"11301,79",personal,"0,0285",12,7/13/2020,approved
337,337,"37963,75",personal,"0,0416",36,5/14/2021,approved
338,338,"32685,12",auto,"0,0337",12,8/23/2020,rejected
339,339,"34139,18",personal,"0,0235",60,6/28/2022,rejected
340,340,"12591,94",auto,"0,0367",60,1/22/2022,approved
341,341,"20581,51",mortgage,"0,0494",60,06.09.2021,approved
342,342,"13660,6",auto,"0,0054",36,09.09.2022,rejected
343,343,"4338,17",personal,"0,0534",12,5/17/2022,closed
344,344,"10993,12",auto,"0,0291",24,1/23/2022,approved
345,345,"49763,05",auto,"0,0199",24,3/30/2020,rejected
346,346,"12468,06",mortgage,"0,0097",36,5/17/2020,approved
347,347,"8805,37",auto,"0,0526",48,07.04.2021,closed
348,348,"35146,96",auto,"0,0225",48,6/13/2021,closed
349,349,"30505,08",auto,"0,0380",60,12/29/2022,closed
350,350,"37554,64",auto,"0,0123",12,11/20/2020,rejected
351,351,"33029,98",personal,"0,0316",24,04.01.2021,closed
352,352,"11926,68",mortgage,"0,0450",60,07.03.2020,approved
353,353,"25544,4",auto,"0,0062",36,2/16/2020,closed
354,354,"9655,5",mortgage,"0,0259",48,8/14/2022,approved
355,355,"13423,36",mortgage,"0,0319",36,1/26/2021,approved
356,356,"49358,96",personal,"0,0063",12,04.02.2021,approved
357,357,"36705,32",auto,"0,0519",12,5/24/2022,approved
358,358,"39359,67",auto,"0,0441",12,05.02.2021,approved
359,359,"2472,9",personal,"0,0220",48,9/13/2022,closed
360,360,"19724,56",personal,"0,0114",48,12.08.2020,rejected
361,361,"28207,19",personal,"0,0508",60,4/26/2020,closed
362,362,"8334,03",mortgage,"0,0293",36,05.11.2021,closed
363,363,"42578,77",auto,"0,0334",24,10/29/2020,rejected
364,364,"7840,41",auto,"0,0002",24,9/20/2021,closed
365,365,"32188,77",auto,"0,0398",24,08.01.2022,rejected
366,366,"28106,17",personal,"0,0438",48,2/22/2020,approved
367,367,"42616,35",mortgage,"0,0213",60,7/27/2020,closed
368,368,"16278,73",mortgage,"0,0540",12,05.06.2022,approved
369,369,"14920,1",personal,"0,0224",12,10.07.2021,approved
370,370,"42474,24",auto,"0,0511",60,7/25/2021,rejected
371,371,"11848,89",auto,"0,0511",48,9/15/2022,closed
372,372,"37556,03",mortgage,"0,0244",24,09.03.2021,approved
373,373,"10366,15",mortgage,"0,0258",36,3/13/2022,approved
374,374,"43909,08",auto,"0,0304",48,1/30/2021,approved
375,375,"42114,11",personal,"0,0491",24,7/29/2022,rejected
376,376,"39585,69",personal,"0,0164",12,09.06.2020,rejected
377,377,"25082,09",mortgage,"0,0426",60,09.02.2020,approved
378,378,"2658,12",personal,"0,0459",60,1/26/2021,closed
379,379,"7490,79",personal,"0,0549",24,1/26/2021,rejected
380,380,"23373,65",auto,"0,0127",48,2/20/2022,approved
381,381,"3138,73",auto,"0,0111",24,7/25/2022,approved
382,382,"4110,15",personal,"0,0100",48,3/29/2021,rejected
383,383,"7149,69",mortgage,"0,0455",12,5/22/2022,approved
384,384,"13781,49",auto,"0,0127",60,02.09.2021,closed
385,385,"37716,82",auto,"0,0083",48,8/18/2020,rejected
386,386,"3351,14",auto,"0,0308",12,8/19/2020,rejected
387,387,"49198,33",mortgage,"0,0251",36,01.09.2021,closed
388,388,"14417,65",auto,"0,0091",24,04.10.2021,approved
389,389,"16689,69",auto,"0,0110",48,10/17/2020,rejected
390,390,"13146,36",personal,"0,0190",24,01.05.2021,closed
391,391,"30517,15",mortgage,"0,0260",24,01.07.2021,closed
392,392,"1951,9",personal,"0,0562",60,01.09.2022,approved
393,393,"5584,91",personal,"0,0267",24,04.09.2021,rejected
394,394,"5840,09",personal,"0,0385",36,12/28/2020,rejected
395,395,"33562,09",personal,"0,0389",60,12/19/2020,closed
396,396,"17146,57",personal,"0,0433",24,05.02.2021,closed
397,397,"22437,22",personal,"0,0317",36,08.01.2022,rejected
398,398,"47548,69",auto,"0,0572",48,8/15/2020,approved
399,399,"10802,1",mortgage,"0,0356",12,09.01.2020,approved
400,400,"4439,64",personal,"0,0270",36,3/23/2022,approved
401,401,"22629,74",mortgage,"0,0505",48,8/30/2021,closed
402,402,"9039,59",mortgage,"0,0126",48,01.08.2021,closed
403,403,"8088,2",auto,"0,0580",48,12.03.2020,approved
404,404,"21096,47",mortgage,"0,0431",12,10/15/2020,rejected
405,405,"33812,91",mortgage,"0,0444",24,06.10.2021,closed
406,406,"12899,74",mortgage,"0,0202",24,8/23/2020,closed
407,407,"43922,23",mortgage,"0,0578",24,6/30/2021,rejected
408,408,"18759,95",auto,"0,0387",36,2/27/2020,closed
409,409,"46768,36",auto,"0,0332",12,03.02.2022,closed
410,410,"25127,37",personal,"0,0388",60,06.07.2020,approved
411,411,"36610,16",mortgage,"0,0311",12,02.01.2022,approved
412,412,"42601,83",mortgage,"0,0055",60,02.01.2020,rejected
413,413,"26956,27",auto,"0,0452",48,11.03.2021,approved
414,414,"42665,85",auto,"0,0311",24,09.07.2021,closed
415,415,"19521,11",auto,"0,0440",60,9/26/2021,approved
416,416,"18806,8",mortgage,"0,0268",24,8/15/2020,approved
417,417,"39909,11",auto,"0,0130",12,02.03.2022,closed
418,418,"12822,22",mortgage,"0,0572",24,2/16/2020,closed
419,419,"36134,89",auto,"0,0300",24,01.08.2020,closed
420,420,"4777,26",mortgage,"0,0419",36,12.04.2020,approved
421,421,"32145,63",personal,"0,0137",60,8/14/2020,approved
422,422,"47153,58",auto,"0,0024",36,2/14/2022,approved
423,423,"23366,83",personal,"0,0489",12,11/15/2022,rejected
424,424,"21382,29",auto,"0,0586",48,3/18/2021,approved
425,425,"27486,5",auto,"0,0125",48,12/23/2020,rejected
426,426,"36258,74",mortgage,"0,0205",24,9/18/2020,closed
427,427,"18582,98",personal,"0,0398",48,04.07.2020,closed
428,428,"1006,37",mortgage,"0,0103",36,5/19/2021,rejected
429,429,"25602,15",mortgage,"0,0055",24,11.12.2020,closed
430,430,"21544,63",mortgage,"0,0576",24,8/30/2020,closed
431,431,"27102,45",mortgage,"0,0315",60,1/16/2020,rejected
432,432,"36050,3",auto,"0,0054",24,06.09.2021,rejected
433,433,"14886,16",mortgage,"0,0119",48,1/25/2021,approved
434,434,"25757,72",auto,"0,0059",60,10/13/2020,approved
